U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.4184,3.4363,3.4374,3.42,3.4191,3.4017,3.4003,3.4177,3.4188,3.4542,3.4561,3.4214,3.4193,3.384,3.3819,3.4165,3.4186,3.4718,3.4746,3.4228,3.4196,3.3666,3.3636,3.4154,3.4186,3.4893,3.4932,3.424,3.4198,3.3494,3.3454,3.4144,3.4186,3.5067,3.5114,3.4252,3.42,3.3322,3.3271,3.4133,3.4184,20.0,0.7832,NMC_15Ah,100
3.4191,3.4363,3.4372,3.4203,3.4196,3.4026,3.4017,3.4184,3.4193,3.4537,3.4553,3.4217,3.42,3.3856,3.384,3.4177,3.4193,3.4709,3.4732,3.4228,3.4203,3.3687,3.3664,3.4168,3.4193,3.4879,3.4909,3.4238,3.4205,3.3519,3.3489,3.4159,3.4191,3.5051,3.5086,3.4249,3.4209,3.3352,3.3313,3.4149,3.4191,20.0,0.7749533333333333,NMC_15Ah,100
3.4107,3.4289,3.4298,3.4123,3.4112,3.3935,3.3924,3.41,3.411,3.4472,3.4491,3.4137,3.4117,3.3756,3.3736,3.4089,3.411,3.4653,3.4679,3.4149,3.4119,3.3578,3.355,3.4079,3.411,3.4832,3.4867,3.4163,3.4123,3.3403,3.3366,3.4068,3.4109,3.5009,3.5053,3.4172,3.4123,3.3225,3.318,3.4058,3.4107,20.0,0.7973199999999999,NMC_15Ah,100
3.4221,3.4409,3.4419,3.4237,3.4228,3.4044,3.4033,3.4216,3.4226,3.46,3.4618,3.4251,3.4233,3.3859,3.3842,3.4207,3.4226,3.4788,3.4813,3.4263,3.4235,3.3675,3.365,3.4198,3.4226,3.4974,3.5006,3.4275,3.4238,3.3492,3.3459,3.4189,3.4226,3.516,3.5199,3.4286,3.4242,3.331,3.3268,3.4179,3.4224,20.0,0.7752800000000001,NMC_15Ah,100
3.4223,3.4405,3.4416,3.4238,3.4228,3.4049,3.4035,3.4214,3.4224,3.459,3.4611,3.4254,3.4231,3.3866,3.3845,3.4203,3.4224,3.4772,3.4802,3.4268,3.4233,3.3687,3.3656,3.4191,3.4223,3.4951,3.4993,3.4281,3.4235,3.3508,3.3466,3.4179,3.4223,3.5132,3.5181,3.4295,3.424,3.3331,3.3278,3.4168,3.4223,20.0,0.76466,NMC_15Ah,100
3.4221,3.4421,3.4435,3.4238,3.4228,3.4031,3.4017,3.421,3.4223,3.4623,3.4646,3.4256,3.423,3.3835,3.381,3.42,3.4224,3.4821,3.4856,3.4272,3.4233,3.3638,3.3603,3.4188,3.4224,3.5021,3.5067,3.4286,3.4237,3.3441,3.3396,3.4175,3.4223,3.522,3.5274,3.43,3.424,3.3245,3.3189,3.4163,3.4223,20.0,0.78068,NMC_15Ah,100
3.436,3.454,3.4549,3.4372,3.4363,3.4186,3.4175,3.4351,3.4361,3.4723,3.4739,3.4384,3.4367,3.4005,3.3987,3.4342,3.4358,3.4902,3.4927,3.4395,3.4368,3.3826,3.3801,3.4331,3.4358,3.5081,3.5113,3.4407,3.437,3.365,3.3617,3.4323,3.4358,3.5262,3.5299,3.4418,3.4372,3.3473,3.3433,3.4314,3.4356,20.0,0.7529666666666667,NMC_15Ah,100
3.4282,3.4456,3.4465,3.4296,3.4289,3.4119,3.4109,3.4277,3.4286,3.4632,3.4646,3.4307,3.4291,3.3947,3.3933,3.4268,3.4286,3.4802,3.4823,3.4319,3.4295,3.3777,3.3756,3.4261,3.4286,3.4976,3.5002,3.433,3.4296,3.361,3.358,3.4252,3.4284,3.5146,3.5178,3.4337,3.4298,3.344,3.3405,3.4244,3.4284,20.0,0.7786266666666666,NMC_15Ah,100
3.4277,3.4461,3.447,3.4291,3.4282,3.4103,3.4093,3.4272,3.4281,3.4646,3.4662,3.4303,3.4286,3.3921,3.3905,3.4263,3.4279,3.4828,3.4851,3.4314,3.4289,3.3743,3.3719,3.4254,3.4279,3.5009,3.5039,3.4326,3.4291,3.3561,3.3531,3.4245,3.4279,3.519,3.5227,3.4337,3.4293,3.3383,3.3348,3.4235,3.4277,20.0,0.7700266666666666,NMC_15Ah,100
3.4245,3.4421,3.443,3.426,3.4251,3.4077,3.4066,3.4237,3.4249,3.46,3.4618,3.4274,3.4254,3.3905,3.3886,3.4228,3.4249,3.4774,3.48,3.4286,3.4258,3.3731,3.3705,3.4219,3.4247,3.4949,3.4983,3.43,3.4261,3.3561,3.3526,3.421,3.4247,3.5125,3.5167,3.4309,3.4263,3.3389,3.3345,3.4198,3.4247,20.0,0.77308,NMC_15Ah,100
3.4302,3.4463,3.4472,3.4314,3.4307,3.4149,3.414,3.4298,3.4305,3.4626,3.464,3.4326,3.431,3.3991,3.3975,3.4289,3.4305,3.4786,3.4807,3.4335,3.4314,3.3833,3.381,3.4282,3.4303,3.4946,3.4972,3.4346,3.4316,3.3673,3.3647,3.4275,3.4303,3.5104,3.5137,3.4356,3.4317,3.3517,3.3482,3.4268,3.4303,20.0,0.7685866666666666,NMC_15Ah,100
3.4202,3.4389,3.44,3.4217,3.4207,3.4022,3.401,3.4193,3.4203,3.4581,3.4598,3.423,3.421,3.3835,3.3817,3.4184,3.4205,3.4769,3.4795,3.4244,3.4214,3.3652,3.3624,3.4175,3.4203,3.4955,3.499,3.4256,3.4217,3.3468,3.3431,3.4163,3.4203,3.5141,3.5183,3.427,3.4219,3.3287,3.3241,3.4154,3.4203,20.0,0.7872733333333334,NMC_15Ah,100
3.421,3.4391,3.4402,3.4226,3.4217,3.4038,3.4028,3.4203,3.4214,3.4577,3.4593,3.424,3.4219,3.3859,3.384,3.4195,3.4214,3.4758,3.4783,3.4251,3.4223,3.3682,3.3654,3.4186,3.4214,3.4937,3.4971,3.4263,3.4226,3.3505,3.3469,3.4177,3.4212,3.5114,3.5155,3.4275,3.4228,3.3329,3.3287,3.4166,3.4212,20.0,0.7994533333333333,NMC_15Ah,100
3.4244,3.4428,3.4437,3.4258,3.4249,3.407,3.4059,3.4237,3.4247,3.4614,3.4628,3.427,3.4251,3.3889,3.3872,3.4228,3.4245,3.4795,3.4818,3.4279,3.4254,3.3708,3.3684,3.4221,3.4245,3.4978,3.5007,3.4289,3.4256,3.3526,3.3496,3.421,3.4244,3.5158,3.5193,3.43,3.4258,3.3347,3.331,3.4202,3.4242,20.0,0.7728866666666666,NMC_15Ah,100
3.4212,3.4398,3.4407,3.4226,3.4217,3.4033,3.4024,3.4205,3.4216,3.4586,3.4604,3.424,3.4221,3.3852,3.3833,3.4196,3.4214,3.4769,3.4795,3.4251,3.4224,3.3671,3.3645,3.4186,3.4214,3.4955,3.4988,3.4263,3.4226,3.3489,3.3455,3.4177,3.4214,3.5139,3.5178,3.4274,3.4228,3.3308,3.3268,3.4168,3.4212,20.0,0.7937666666666666,NMC_15Ah,100
3.4219,3.4409,3.4419,3.4235,3.4226,3.404,3.4028,3.4212,3.4223,3.46,3.4618,3.4251,3.423,3.3854,3.3833,3.4203,3.4223,3.4788,3.4816,3.4263,3.4231,3.3668,3.364,3.4193,3.4223,3.4974,3.5009,3.4275,3.4235,3.3485,3.3447,3.4182,3.4223,3.516,3.5204,3.4288,3.4237,3.3301,3.3255,3.4172,3.4221,20.0,0.7859266666666667,NMC_15Ah,100
