,U2-U1,U3-U1,U4-U1,U5-U1,U6-U1,U7-U1,U8-U1,U9-U1,U10-U1,U11-U1,U12-U1,U13-U1,U14-U1,U15-U1,U16-U1,U17-U1,U18-U1,U19-U1,U20-U1,U21-U1,U22-U1,U23-U1,U24-U1,U25-U1,U26-U1,U27-U1,U28-U1,U29-U1,U30-U1,U31-U1,U32-U1,U33-U1,U34-U1,U35-U1,U36-U1,U37-U1,U38-U1,U39-U1,U40-U1,U41-U1
U22-U1,-0.9992318850330434,-0.9767708523436908,-0.746771605383198,-0.6451601754039968,0.9996053867811472,0.9759632627188591,0.6777674305475803,-0.46115227242819057,-0.9991585025182443,-0.9756329781764527,-0.7255605546413039,-0.6563192510687341,0.9999154857353668,0.9754506965940377,0.6958249713187258,-0.2682632409117203,-0.9993195481754124,-0.9764095332431351,-0.7268095460939668,-0.6723759053922118,0.9999999999999999,0.9744972399638236,0.7039661070445237,-0.04177890362009358,-0.9994028724012756,-0.9771092358313714,-0.7289677496500924,-0.6702340487969934,0.9999488481663555,0.9738059881177958,0.7118392239084214,0.14927213459612482,-0.9994284314822505,-0.9778100769535597,-0.7312730797519399,-0.6574185876599007,0.9999153427844171,0.9734271769304697,0.7161154123785618,0.27935058636869364
U23-U1,-0.974080232234317,-0.9992424628676165,-0.8735233975106751,-0.7168432531990773,0.9724018338701774,0.9997599119587491,0.8224769582350526,-0.4464667356518939,-0.9770573782196148,-0.9991945424453273,-0.8587051963763965,-0.7412377739307917,0.9735302729939826,0.9999341709357429,0.8376558528994779,-0.19522999004083572,-0.9767734212409045,-0.9991699623400158,-0.8600759470888039,-0.7597676183899885,0.9744972399638236,1.0,0.8439532234090541,0.07504122402039172,-0.9765460824660023,-0.9990285639874308,-0.8618180798194932,-0.7625842378511035,0.9747241924661766,0.9999553507004914,0.8498013270711259,0.28087764184580016,-0.9759830425033413,-0.9987799107824581,-0.8634410179793912,-0.7553739178171232,0.9746368315826179,0.9999164027546279,0.8528631091884304,0.4172635100122911
U24-U1,-0.7036332420257844,-0.8355673783721225,-0.9880186020813428,-0.7210442533857747,0.6982530274272956,0.8398377157051211,0.9938581493854751,-0.3016918090389806,-0.7130337907430836,-0.83780171787586,-0.9898256522628734,-0.7709618679408312,0.7011013871383459,0.8416015712895552,0.9985784429035174,0.03451308944671061,-0.7118268792203938,-0.8357966149798972,-0.9911737462558015,-0.7938450043240753,0.7039661070445237,0.8439532234090541,1.0,0.34968304195423683,-0.710810429914835,-0.8334733765988466,-0.9915360251315398,-0.8064915018880343,0.7046912514677126,0.8454976609423394,0.999098917598083,0.5399222060344145,-0.708955096805502,-0.8308708359562036,-0.9914405426502415,-0.8157270309991101,0.7044091173859002,0.8461725697333321,0.9987739849953351,0.6588722671761897
U25-U1,0.05911337567738491,-0.0550028229529909,-0.2527090279793638,0.09058426516350611,-0.03601228029383556,0.07966499846631905,0.40265652806235797,0.6073336639237218,0.05339855136687839,-0.05680816794845879,-0.26801893444597763,0.05933839056691341,-0.04149877453035718,0.0753083987018766,0.3665633284173881,0.816835863271657,0.052694238303024825,-0.057504711493936156,-0.27380246890983506,0.040091023013285085,-0.04177890362009357,0.07504122402039173,0.3496830419542369,0.9999999999999999,0.051632229694263294,-0.057446701543234016,-0.27922941659866896,0.011590234518112393,-0.04275869066656635,0.07458690120767812,0.3330831949810942,0.8774880205374345,0.0511360448968821,-0.05767479233677983,-0.2807302796895857,-0.019458327150313613,-0.044082537107141995,0.07402159277157261,0.3225499851617988,0.818373448973943
U26-U1,0.9997455738143348,0.9796557509043375,0.7565847961111211,0.666727566038666,-0.9985126277934957,-0.9776071779293779,-0.6828150836748786,0.48216669609205104,0.9999117377356652,0.9787193098455916,0.736081151118681,0.6785172724846117,-0.9991643856151801,-0.9773517538758929,-0.7022511519990071,0.28373310846510974,0.9999563872705893,0.9794173705858269,0.7370591476490979,0.6941154320190168,-0.9994028724012757,-0.9765460824660023,-0.710810429914835,0.051632229694263294,1.0,0.9801055334019052,0.7389777067908387,0.69188127130555,-0.9994760099713705,-0.9759540524503113,-0.7188470336356686,-0.14464848619836568,0.9999534565708743,0.9807946900943008,0.7411648944997895,0.6786705242477692,-0.9995126196261931,-0.9756403524107855,-0.7232235465873376,-0.27854291822555355
U27-U1,0.977827858525131,0.999756740354459,0.867985438384837,0.7314715769586925,-0.9747293349625594,-0.9987295921979591,-0.8099746915257603,0.4663426311951556,0.9806943311257856,0.9998787414042433,0.853495570978556,0.755340545813722,-0.9760614118037719,-0.9990174098579313,-0.8267225906425599,0.21490155685711315,0.9803374708479279,0.9999471243029273,0.8545739276777752,0.7731035194065305,-0.9771092358313714,-0.9990285639874309,-0.8334733765988465,-0.05744670154323402,0.9801055334019052,1.0,0.8562385282921686,0.7755370504755885,-0.9773775012992614,-0.9989887663798824,-0.8395763830155623,-0.26706858070817147,0.9796011056883072,0.9999427712207611,0.8578703887083567,0.7673924163443968,-0.9773939524928292,-0.9989413658548213,-0.8426741239172355,-0.40645795262393397
U28-U1,0.7322350306476709,0.8575002699923078,0.9962087694001851,0.7878819640399075,-0.7219756894013576,-0.8570219669993085,-0.9784360331232118,0.3847682808598029,0.7416226841135166,0.8602145833628355,0.9988205120546358,0.8364448460476283,-0.7257601012735644,-0.8593780183178031,-0.9889478660338633,0.045581311182800885,0.7400929300880454,0.8582617561117223,0.9993955847403923,0.8563125524543543,-0.7289677496500924,-0.8618180798194932,-0.9915360251315398,-0.27922941659866896,0.7389777067908387,0.8562385282921686,0.9999999999999998,0.8689646640596529,-0.7297740843528059,-0.8633370198084758,-0.9925654572745253,-0.48667772061886855,0.7371056158272464,0.8539816110182198,0.9993312300958743,0.8743593157828178,-0.7297754428694676,-0.8641040863885268,-0.9928547880100128,-0.6209806125812556
U29-U1,0.6879590336619642,0.7743991227678275,0.8710453140724554,0.9409994867171114,-0.6579839280801812,-0.7543478142588722,-0.7612547396151363,0.6538724388101871,0.6960899095991557,0.7785128873340603,0.8751653341677608,0.97219094290158,-0.6655628693451296,-0.7594175096892536,-0.7950036899346615,0.33505398856585683,0.6934292965786311,0.7766210736897785,0.8704562183887175,0.9820593748215046,-0.6702340487969934,-0.7625842378511034,-0.8064915018880344,0.011590234518112391,0.69188127130555,0.7755370504755886,0.8689646640596528,1.0,-0.6716076639778578,-0.764375491237444,-0.8119784018392605,-0.2294270975608474,0.6902635521658295,0.774629022202022,0.8669487766860471,0.9824757564938774,-0.6727245588045097,-0.7654462854132421,-0.815145312544178,-0.39837021074194173
U30-U1,-0.9992891514276606,-0.9770377961130723,-0.7476694116535799,-0.6465063546445254,0.9995423548216247,0.9761430953008463,0.6783100514595156,-0.4629834200337165,-0.9992361947059915,-0.975905847408418,-0.7264751403610555,-0.6579194266561694,0.9998815500940508,0.9756531060564523,0.696497781414654,-0.26991919900409406,-0.9993890191441356,-0.9766654898799456,-0.7276958528158872,-0.6738731169662292,0.9999488481663555,0.9747241924661766,0.7046912514677125,-0.042758690666566346,-0.9994760099713706,-0.9773775012992615,-0.7297740843528058,-0.6716076639778579,1.0,0.9740633830834191,0.7125702891656482,0.14876095027280123,-0.9995149913343078,-0.9780803910899681,-0.7320664277002158,-0.6587646823655542,0.9999577690557716,0.973695604236845,0.7168900119653282,0.2791840090441836
U31-U1,-0.9734775518868514,-0.9992276075829546,-0.8750876335140237,-0.7185424035676119,0.9716416040006297,0.9996636983052983,0.8238569859630528,-0.4481314590155368,-0.9764949894351638,-0.9991879173936912,-0.8603492096870106,-0.7430642205392384,0.9728165999627807,0.9998796216808562,0.8391179681188304,-0.1964204841758677,-0.9761969029875752,-0.9991429368510013,-0.8616715915488993,-0.7616237591455532,0.9738059881177958,0.9999553507004912,0.8454976609423394,0.07458690120767811,-0.9759540524503112,-0.9989887663798825,-0.8633370198084757,-0.7643754912374441,0.974063383083419,1.0,0.8513296977507375,0.2810536592081023,-0.9754068269136978,-0.9987362958672233,-0.8649599031607011,-0.7571073667152097,0.9739990869529939,0.9999627007810916,0.8544060793790262,0.41758759874515017
