File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_width_ms,pulse_ms
LMO_C_10_B_55_SOC_5-80_Part_1-1_ID_PIP15D01A03224640.xlsx,LMO,55,PIP15D01A03224640,10,8.7433,0.8743299999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_56_SOC_5-80_Part_1-1_ID_PIP15D01A03221296.xlsx,LMO,56,PIP15D01A03221296,10,8.7194,0.87194,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_57_SOC_5-80_Part_1-1_ID_PIP15D01A03217542.xlsx,LMO,57,PIP15D01A03217542,10,8.7094,0.87094,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_58_SOC_5-80_Part_1-1_ID_PIP15512A50200009.xlsx,LMO,58,PIP15512A50200009,10,8.4652,0.8465199999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_59_SOC_5-80_Part_1-1_ID_PIP15N15A03208341.xlsx,LMO,59,PIP15N15A03208341,10,9.0113,0.90113,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_5_SOC_5-55_Part_1-1_ID_PIP15N22A03240032.xlsx,LMO,5,PIP15N22A03240032,10,5.3577,0.5357700000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_60_SOC_5-80_Part_1-1_ID_PIP15N15A03208989.xlsx,LMO,60,PIP15N15A03208989,10,8.7996,0.87996,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_61_SOC_5-80_Part_1-1_ID_PIP15D25A03236724.xlsx,LMO,61,PIP15D25A03236724,10,9.1108,0.9110799999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_62_SOC_5-80_Part_1-1_ID_PIP15N15A03208398.xlsx,LMO,62,PIP15N15A03208398,10,8.8591,0.88591,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_63_SOC_5-80_Part_1-1_ID_PIP15502C00208544.xlsx,LMO,63,PIP15502C00208544,10,8.8435,0.8843500000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_64_SOC_5-80_Part_1-1_ID_PIP15D01A03206727.xlsx,LMO,64,PIP15D01A03206727,10,8.7019,0.87019,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_65_SOC_5-80_Part_1-1_ID_PIP15N15A03208683.xlsx,LMO,65,PIP15N15A03208683,10,8.6522,0.8652200000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_66_SOC_5-80_Part_1-1_ID_PIP15N14A03235525.xlsx,LMO,66,PIP15N14A03235525,10,8.9144,0.89144,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_67_SOC_5-85_Part_1-1_ID_PIP15D25A03243702.xlsx,LMO,67,PIP15D25A03243702,10,8.8907,0.88907,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_68_SOC_5-85_Part_1-1_ID_PIP15N30A03228344.xlsx,LMO,68,PIP15N30A03228344,10,8.896,0.8896000000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_69_SOC_5-85_Part_1-1_ID_PIP15D19A03226854.xlsx,LMO,69,PIP15D19A03226854,10,8.9939,0.89939,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_6_SOC_5-55_Part_1-1_ID_PIP15829A00218512.xlsx,LMO,6,PIP15829A00218512,10,6.9177,0.69177,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_70_SOC_5-85_Part_1-1_ID_PIP15D15A03236532.xlsx,LMO,70,PIP15D15A03236532,10,8.9182,0.8918200000000001,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_71_SOC_5-85_Part_1-1_ID_PIP15D25A03209658.xlsx,LMO,71,PIP15D25A03209658,10,8.9053,0.89053,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_72_SOC_5-85_Part_1-1_ID_PIP15N21A50200990.xlsx,LMO,72,PIP15N21A50200990,10,8.9374,0.89374,0.03,5,0.04998,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_73_SOC_5-85_Part_1-1_ID_PIP15N15A03208672.xlsx,LMO,73,PIP15N15A03208672,10,8.7891,0.87891,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_74_SOC_5-85_Part_1-1_ID_PIP15D15A03236823.xlsx,LMO,74,PIP15D15A03236823,10,9.0417,0.90417,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_75_SOC_5-85_Part_1-1_ID_PIP15N15A03208431.xlsx,LMO,75,PIP15N15A03208431,10,9.0144,0.90144,0.03,5,0.05,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
LMO_C_10_B_76_SOC_5-85_Part_1-1_ID_PIP15512A50200153.xlsx,LMO,76,PIP15512A50200153,10,8.8919,0.8891899999999999,0.03,5,0.04999,LMO_10Ah_W_30.xlsx,10Ah LMO,LMO_10Ah,SOC5,30,30
