nohup: ignoring input
[CONFIG] orders = ['PARALLEL']
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] TRAIN samples = 68162 | IDs = 461
[DATA] VAL   samples = 510 | IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] TEST  samples = 1280 | IDs = 128
[DEVICE] cpu

==========================================================================================
[RUN] Hierarchy order: PARALLEL
[RUN] Meaning: Material, SOC and SOH predicted in parallel
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/PARALLEL
==========================================================================================
[PARALLEL] epoch 067 | VAL cls=0.9451 | SOC MedAPE=9.398% | SOH MedAPE=3.640% | val_score=0.778318
[PARALLEL] epoch 068 | VAL cls=0.9431 | SOC MedAPE=7.464% | SOH MedAPE=3.513% | val_score=0.798247
[PARALLEL] epoch 069 | VAL cls=0.9098 | SOC MedAPE=9.043% | SOH MedAPE=4.200% | val_score=0.735368
[PARALLEL] epoch 070 | VAL cls=0.9235 | SOC MedAPE=8.086% | SOH MedAPE=3.964% | val_score=0.763382
[PARALLEL] epoch 071 | VAL cls=0.9294 | SOC MedAPE=7.307% | SOH MedAPE=4.246% | val_score=0.771416
[PARALLEL] epoch 072 | VAL cls=0.9275 | SOC MedAPE=8.106% | SOH MedAPE=3.822% | val_score=0.769947
[PARALLEL] epoch 073 | VAL cls=0.8765 | SOC MedAPE=10.867% | SOH MedAPE=4.577% | val_score=0.676260
[PARALLEL] epoch 074 | VAL cls=0.8745 | SOC MedAPE=10.999% | SOH MedAPE=4.493% | val_score=0.674669
[PARALLEL] epoch 075 | VAL cls=0.9098 | SOC MedAPE=9.260% | SOH MedAPE=4.006% | val_score=0.737088
[PARALLEL] epoch 076 | VAL cls=0.8843 | SOC MedAPE=7.864% | SOH MedAPE=3.901% | val_score=0.727643
[PARALLEL] epoch 077 | VAL cls=0.9157 | SOC MedAPE=8.219% | SOH MedAPE=4.042% | val_score=0.752657
[PARALLEL] epoch 078 | VAL cls=0.9255 | SOC MedAPE=7.913% | SOH MedAPE=4.510% | val_score=0.756154
[PARALLEL] epoch 079 | VAL cls=0.8882 | SOC MedAPE=7.915% | SOH MedAPE=4.531% | val_score=0.718456
[PARALLEL] epoch 080 | VAL cls=0.8922 | SOC MedAPE=9.225% | SOH MedAPE=3.934% | val_score=0.721232
[PARALLEL] epoch 081 | VAL cls=0.9588 | SOC MedAPE=8.930% | SOH MedAPE=4.127% | val_score=0.786982
[PARALLEL] epoch 082 | VAL cls=0.9314 | SOC MedAPE=7.913% | SOH MedAPE=3.734% | val_score=0.777557
[PARALLEL] epoch 083 | VAL cls=0.9275 | SOC MedAPE=8.420% | SOH MedAPE=4.424% | val_score=0.754764
[PARALLEL] epoch 084 | VAL cls=0.9373 | SOC MedAPE=8.985% | SOH MedAPE=4.147% | val_score=0.764463
[PARALLEL] epoch 085 | VAL cls=0.9294 | SOC MedAPE=7.808% | SOH MedAPE=3.800% | val_score=0.775330
[PARALLEL] epoch 086 | VAL cls=0.9235 | SOC MedAPE=7.617% | SOH MedAPE=4.320% | val_score=0.760960
[EARLY STOP] PARALLEL | best_epoch=66 | best_score=0.813815
[FINAL] PARALLEL stable test evaluation with n_mc_soc=500, n_mc_soh=500
[BEST] PARALLEL
{'order': 'PARALLEL', 'description': 'Material, SOC and SOH predicted in parallel', 'best_epoch': 66, 'best_score': 0.8138152877069019, 'cls_acc': 0.88125, 'soc_rmse_raw': 9.294522981356831, 'soc_mae_raw': 5.1877313228948365, 'soc_mape_raw': 12.229395791680542, 'soc_medape_raw': 6.471473563034316, 'soh_rmse_raw': 0.07171368492202117, 'soh_mae_raw': 0.04670549135627443, 'soh_mape_raw': 5.8653457456840155, 'soh_medape_raw': 2.83771985395623, 'n_train': 68162, 'n_test': 1280, 'num_classes': 8, 'device': 'cpu', 'elapsed_sec': 10546.365231990814}

[SUMMARY]
      order  ... soh_medape_pct
0  PARALLEL  ...        2.83772

[1 rows x 21 columns]
