nohup: ignoring input

==========================================================================================
[READ] Transfer ablation: soft reference
[READ] Source: proposed further-analysis summary, split == 'test'
==========================================================================================

==========================================================================================
[RUN] Transfer ablation: hard
[RUN] Meaning: Use argmax material prediction converted to one-hot downstream context.
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/transfer_ablation/hard
==========================================================================================
[INFO] Device: cpu
[INFO] Material transfer mode: hard
[INFO] Meaning: Use argmax material prediction converted to one-hot downstream context.
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.834720, best_epoch=75
[hard | stage1_soc] Loaded BEST checkpoint from epoch=75 | score=0.8347195965402266
[RESUME-stage2_soh] start_epoch=14, best_score=-0.537601, best_epoch=8
[hard | stage2_soh] epoch 056 | VAL cls=0.9686 | SOC MedAPE(raw)=5.784% | SOH MedAPE(raw)=2.258% | val_score=-0.498017
[hard | stage2_soh] epoch 057 | VAL cls=0.9686 | SOC MedAPE(raw)=5.638% | SOH MedAPE(raw)=2.536% | val_score=-0.481162
[hard | stage2_soh] epoch 058 | VAL cls=0.9686 | SOC MedAPE(raw)=5.534% | SOH MedAPE(raw)=2.394% | val_score=-0.474626
[hard | stage2_soh] epoch 059 | VAL cls=0.9686 | SOC MedAPE(raw)=6.095% | SOH MedAPE(raw)=2.440% | val_score=-0.504675
[hard | stage2_soh] epoch 060 | VAL cls=0.9686 | SOC MedAPE(raw)=6.052% | SOH MedAPE(raw)=2.249% | val_score=-0.521900
[hard | stage2_soh] epoch 061 | VAL cls=0.9686 | SOC MedAPE(raw)=5.924% | SOH MedAPE(raw)=2.252% | val_score=-0.500835
[hard | stage2_soh] epoch 062 | VAL cls=0.9686 | SOC MedAPE(raw)=6.151% | SOH MedAPE(raw)=2.325% | val_score=-0.485661
[hard | stage2_soh] epoch 063 | VAL cls=0.9686 | SOC MedAPE(raw)=5.858% | SOH MedAPE(raw)=2.503% | val_score=-0.471722
[hard | stage2_soh] epoch 064 | VAL cls=0.9686 | SOC MedAPE(raw)=5.642% | SOH MedAPE(raw)=2.223% | val_score=-0.466013
[hard | stage2_soh] epoch 065 | VAL cls=0.9686 | SOC MedAPE(raw)=5.851% | SOH MedAPE(raw)=2.485% | val_score=-0.456566
[hard | stage2_soh] epoch 066 | VAL cls=0.9686 | SOC MedAPE(raw)=6.017% | SOH MedAPE(raw)=2.315% | val_score=-0.493526
[hard | stage2_soh] epoch 067 | VAL cls=0.9686 | SOC MedAPE(raw)=5.870% | SOH MedAPE(raw)=2.535% | val_score=-0.469780
[hard | stage2_soh] epoch 068 | VAL cls=0.9686 | SOC MedAPE(raw)=6.055% | SOH MedAPE(raw)=2.141% | val_score=-0.508178
[hard | stage2_soh] epoch 069 | VAL cls=0.9686 | SOC MedAPE(raw)=5.603% | SOH MedAPE(raw)=2.154% | val_score=-0.491389
[hard | stage2_soh] epoch 070 | VAL cls=0.9686 | SOC MedAPE(raw)=5.876% | SOH MedAPE(raw)=2.240% | val_score=-0.519599
[hard | stage2_soh] epoch 071 | VAL cls=0.9686 | SOC MedAPE(raw)=6.347% | SOH MedAPE(raw)=2.282% | val_score=-0.490747
[hard | stage2_soh] epoch 072 | VAL cls=0.9686 | SOC MedAPE(raw)=6.142% | SOH MedAPE(raw)=2.467% | val_score=-0.455206
[hard | stage2_soh] epoch 073 | VAL cls=0.9686 | SOC MedAPE(raw)=6.313% | SOH MedAPE(raw)=2.483% | val_score=-0.445531
[hard | stage2_soh] epoch 074 | VAL cls=0.9686 | SOC MedAPE(raw)=5.911% | SOH MedAPE(raw)=2.098% | val_score=-0.490954
[hard | stage2_soh] epoch 075 | VAL cls=0.9686 | SOC MedAPE(raw)=5.999% | SOH MedAPE(raw)=2.646% | val_score=-0.521500
[hard | stage2_soh] epoch 076 | VAL cls=0.9686 | SOC MedAPE(raw)=5.533% | SOH MedAPE(raw)=2.535% | val_score=-0.491595
[hard | stage2_soh] epoch 077 | VAL cls=0.9686 | SOC MedAPE(raw)=5.977% | SOH MedAPE(raw)=2.458% | val_score=-0.508651
[hard | stage2_soh] epoch 078 | VAL cls=0.9686 | SOC MedAPE(raw)=5.625% | SOH MedAPE(raw)=2.433% | val_score=-0.488737
[hard | stage2_soh] epoch 079 | VAL cls=0.9686 | SOC MedAPE(raw)=5.798% | SOH MedAPE(raw)=2.239% | val_score=-0.470013
[hard | stage2_soh] epoch 080 | VAL cls=0.9686 | SOC MedAPE(raw)=5.977% | SOH MedAPE(raw)=2.418% | val_score=-0.483111
[hard | stage2_soh] epoch 081 | VAL cls=0.9686 | SOC MedAPE(raw)=6.490% | SOH MedAPE(raw)=2.520% | val_score=-0.530552
[hard | stage2_soh] epoch 082 | VAL cls=0.9686 | SOC MedAPE(raw)=5.779% | SOH MedAPE(raw)=2.185% | val_score=-0.504175
[hard | stage2_soh] epoch 083 | VAL cls=0.9686 | SOC MedAPE(raw)=5.855% | SOH MedAPE(raw)=2.387% | val_score=-0.487183
[hard | stage2_soh] epoch 084 | VAL cls=0.9686 | SOC MedAPE(raw)=5.969% | SOH MedAPE(raw)=2.505% | val_score=-0.491019
[hard | stage2_soh] epoch 085 | VAL cls=0.9686 | SOC MedAPE(raw)=5.560% | SOH MedAPE(raw)=2.389% | val_score=-0.521160
[hard | stage2_soh] epoch 086 | VAL cls=0.9686 | SOC MedAPE(raw)=5.942% | SOH MedAPE(raw)=2.371% | val_score=-0.498712
[hard | stage2_soh] epoch 087 | VAL cls=0.9686 | SOC MedAPE(raw)=5.759% | SOH MedAPE(raw)=2.405% | val_score=-0.481839
[hard | stage2_soh] epoch 088 | VAL cls=0.9686 | SOC MedAPE(raw)=5.988% | SOH MedAPE(raw)=2.588% | val_score=-0.462788
[hard | stage2_soh] epoch 089 | VAL cls=0.9686 | SOC MedAPE(raw)=6.041% | SOH MedAPE(raw)=2.562% | val_score=-0.528052
[hard | stage2_soh] epoch 090 | VAL cls=0.9686 | SOC MedAPE(raw)=6.276% | SOH MedAPE(raw)=2.376% | val_score=-0.503190
[hard | stage2_soh] epoch 091 | VAL cls=0.9686 | SOC MedAPE(raw)=5.936% | SOH MedAPE(raw)=2.407% | val_score=-0.516302
