nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.769288, best_epoch=175
[stage1_soc] Loaded BEST checkpoint from epoch=175 | score=0.7692876669159386
[RESUME-stage2_soh] start_epoch=43, best_score=-0.615578, best_epoch=29
[stage2_soh] epoch 126 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.218% | VAL SOH MedAPE(raw)=4.599% | val_score=-0.704739 | TEST cls=0.8688
[stage2_soh] epoch 127 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.268% | VAL SOH MedAPE(raw)=4.510% | val_score=-0.693479 | TEST cls=0.8688
[stage2_soh] epoch 128 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.891% | VAL SOH MedAPE(raw)=4.653% | val_score=-0.720712 | TEST cls=0.8688
[stage2_soh] epoch 129 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.568% | VAL SOH MedAPE(raw)=4.747% | val_score=-0.691482 | TEST cls=0.8688
[stage2_soh] epoch 130 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.709% | VAL SOH MedAPE(raw)=4.557% | val_score=-0.720038 | TEST cls=0.8688
[stage2_soh] epoch 131 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.001% | VAL SOH MedAPE(raw)=4.233% | val_score=-0.674219 | TEST cls=0.8688
[stage2_soh] epoch 132 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.116% | VAL SOH MedAPE(raw)=4.289% | val_score=-0.680001 | TEST cls=0.8688
[stage2_soh] epoch 133 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.809% | VAL SOH MedAPE(raw)=4.598% | val_score=-0.696361 | TEST cls=0.8688
[stage2_soh] epoch 134 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.119% | VAL SOH MedAPE(raw)=4.575% | val_score=-0.711503 | TEST cls=0.8688
[stage2_soh] epoch 135 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.573% | VAL SOH MedAPE(raw)=4.805% | val_score=-0.704609 | TEST cls=0.8688
[stage2_soh] epoch 136 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.038% | VAL SOH MedAPE(raw)=4.715% | val_score=-0.677284 | TEST cls=0.8688
[stage2_soh] epoch 137 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.879% | VAL SOH MedAPE(raw)=4.667% | val_score=-0.701709 | TEST cls=0.8688
[stage2_soh] epoch 138 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.885% | VAL SOH MedAPE(raw)=4.549% | val_score=-0.684800 | TEST cls=0.8688
[stage2_soh] epoch 139 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.963% | VAL SOH MedAPE(raw)=4.897% | val_score=-0.716930 | TEST cls=0.8688
[stage2_soh] epoch 140 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.873% | VAL SOH MedAPE(raw)=4.573% | val_score=-0.699654 | TEST cls=0.8688
[stage2_soh] epoch 141 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.847% | VAL SOH MedAPE(raw)=5.166% | val_score=-0.728102 | TEST cls=0.8688
[stage2_soh] epoch 142 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.833% | VAL SOH MedAPE(raw)=4.728% | val_score=-0.688766 | TEST cls=0.8688
[stage2_soh] epoch 143 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.783% | VAL SOH MedAPE(raw)=4.876% | val_score=-0.710152 | TEST cls=0.8688
[stage2_soh] epoch 144 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=9.456% | VAL SOH MedAPE(raw)=4.748% | val_score=-0.701948 | TEST cls=0.8688
[stage2_soh] epoch 145 | VAL cls=0.9098 | VAL SOC MedAPE(raw)=8.936% | VAL SOH MedAPE(raw)=4.649% | val_score=-0.710343 | TEST cls=0.8688
