nohup: ignoring input
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 75733 | unique IDs = 512
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] U1-U41 train-only normalization is disabled for this baseline.
Epoch 069 | TE cls=0.8383 | SOC MedAPE(raw)=18.198% | SOH MedAPE(raw)=3.559% | train_select_score=0.836067 | time=32.80s
Epoch 070 | TE cls=0.8187 | SOC MedAPE(raw)=19.550% | SOH MedAPE(raw)=3.680% | train_select_score=0.840324 | time=33.01s
Epoch 071 | TE cls=0.7898 | SOC MedAPE(raw)=23.609% | SOH MedAPE(raw)=3.803% | train_select_score=0.839101 | time=33.02s
Epoch 072 | TE cls=0.8500 | SOC MedAPE(raw)=17.976% | SOH MedAPE(raw)=3.337% | train_select_score=0.838187 | time=33.00s
Epoch 073 | TE cls=0.8398 | SOC MedAPE(raw)=21.833% | SOH MedAPE(raw)=3.477% | train_select_score=0.837876 | time=32.86s
Epoch 074 | TE cls=0.8109 | SOC MedAPE(raw)=16.400% | SOH MedAPE(raw)=3.690% | train_select_score=0.840109 | time=32.90s
Epoch 075 | TE cls=0.7937 | SOC MedAPE(raw)=18.413% | SOH MedAPE(raw)=3.401% | train_select_score=0.840018 | time=33.03s
Epoch 076 | TE cls=0.6977 | SOC MedAPE(raw)=22.053% | SOH MedAPE(raw)=4.080% | train_select_score=0.840334 | time=32.91s
Epoch 077 | TE cls=0.8250 | SOC MedAPE(raw)=16.947% | SOH MedAPE(raw)=3.640% | train_select_score=0.843881 | time=33.06s
Epoch 078 | TE cls=0.7289 | SOC MedAPE(raw)=26.360% | SOH MedAPE(raw)=3.905% | train_select_score=0.844524 | time=32.89s
Epoch 079 | TE cls=0.8094 | SOC MedAPE(raw)=19.895% | SOH MedAPE(raw)=3.423% | train_select_score=0.841887 | time=32.94s
Epoch 080 | TE cls=0.8367 | SOC MedAPE(raw)=17.268% | SOH MedAPE(raw)=3.374% | train_select_score=0.845583 | time=32.84s
Epoch 081 | TE cls=0.8156 | SOC MedAPE(raw)=17.153% | SOH MedAPE(raw)=3.258% | train_select_score=0.849272 | time=33.01s
Epoch 082 | TE cls=0.8258 | SOC MedAPE(raw)=17.406% | SOH MedAPE(raw)=3.208% | train_select_score=0.844956 | time=33.00s
Epoch 083 | TE cls=0.7273 | SOC MedAPE(raw)=21.663% | SOH MedAPE(raw)=3.809% | train_select_score=0.849848 | time=33.13s
Epoch 084 | TE cls=0.8063 | SOC MedAPE(raw)=19.621% | SOH MedAPE(raw)=3.327% | train_select_score=0.845914 | time=32.92s
Epoch 085 | TE cls=0.8750 | SOC MedAPE(raw)=18.432% | SOH MedAPE(raw)=3.330% | train_select_score=0.849698 | time=33.02s
Epoch 086 | TE cls=0.7539 | SOC MedAPE(raw)=21.729% | SOH MedAPE(raw)=3.951% | train_select_score=0.855376 | time=32.98s
Epoch 087 | TE cls=0.8164 | SOC MedAPE(raw)=21.297% | SOH MedAPE(raw)=3.454% | train_select_score=0.847522 | time=32.81s
Epoch 088 | TE cls=0.8391 | SOC MedAPE(raw)=16.890% | SOH MedAPE(raw)=3.525% | train_select_score=0.852140 | time=32.96s
Epoch 089 | TE cls=0.8766 | SOC MedAPE(raw)=16.906% | SOH MedAPE(raw)=3.236% | train_select_score=0.849626 | time=33.00s
Epoch 090 | TE cls=0.8508 | SOC MedAPE(raw)=16.814% | SOH MedAPE(raw)=3.693% | train_select_score=0.853404 | time=32.96s
Epoch 091 | TE cls=0.8031 | SOC MedAPE(raw)=18.432% | SOH MedAPE(raw)=3.358% | train_select_score=0.851902 | time=32.90s
Epoch 092 | TE cls=0.7781 | SOC MedAPE(raw)=22.220% | SOH MedAPE(raw)=3.880% | train_select_score=0.853663 | time=33.01s
Epoch 093 | TE cls=0.8664 | SOC MedAPE(raw)=16.669% | SOH MedAPE(raw)=3.170% | train_select_score=0.850371 | time=33.00s
Epoch 094 | TE cls=0.8398 | SOC MedAPE(raw)=17.417% | SOH MedAPE(raw)=3.456% | train_select_score=0.854425 | time=32.90s
Epoch 095 | TE cls=0.8539 | SOC MedAPE(raw)=16.415% | SOH MedAPE(raw)=3.368% | train_select_score=0.856485 | time=33.04s
