[INFO] Device: cpu
[INFO] Channel mode: ch12 | input_channels=2
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=196, best_score=0.831370, best_epoch=136
[stage2_soh] epoch 079 | VAL cls=0.9745 | SOC MedAPE(raw)=6.378% | SOH MedAPE(raw)=2.356% | val_score=-0.484915
[stage2_soh] epoch 080 | VAL cls=0.9745 | SOC MedAPE(raw)=6.295% | SOH MedAPE(raw)=2.321% | val_score=-0.525814
[stage2_soh] epoch 081 | VAL cls=0.9745 | SOC MedAPE(raw)=6.600% | SOH MedAPE(raw)=2.462% | val_score=-0.524420
[stage2_soh] epoch 082 | VAL cls=0.9745 | SOC MedAPE(raw)=6.727% | SOH MedAPE(raw)=2.331% | val_score=-0.538502
[stage2_soh] epoch 083 | VAL cls=0.9745 | SOC MedAPE(raw)=6.342% | SOH MedAPE(raw)=2.542% | val_score=-0.548579
[stage2_soh] epoch 084 | VAL cls=0.9745 | SOC MedAPE(raw)=6.590% | SOH MedAPE(raw)=2.457% | val_score=-0.518468
[stage2_soh] epoch 085 | VAL cls=0.9745 | SOC MedAPE(raw)=6.682% | SOH MedAPE(raw)=2.331% | val_score=-0.527707
[stage2_soh] epoch 086 | VAL cls=0.9745 | SOC MedAPE(raw)=6.820% | SOH MedAPE(raw)=2.197% | val_score=-0.501655
[stage2_soh] epoch 087 | VAL cls=0.9745 | SOC MedAPE(raw)=6.422% | SOH MedAPE(raw)=2.483% | val_score=-0.519790
[stage2_soh] epoch 088 | VAL cls=0.9745 | SOC MedAPE(raw)=6.414% | SOH MedAPE(raw)=2.645% | val_score=-0.546714
[stage2_soh] epoch 089 | VAL cls=0.9745 | SOC MedAPE(raw)=6.754% | SOH MedAPE(raw)=2.589% | val_score=-0.522895
[stage2_soh] epoch 090 | VAL cls=0.9745 | SOC MedAPE(raw)=6.668% | SOH MedAPE(raw)=2.456% | val_score=-0.486203
[stage2_soh] epoch 091 | VAL cls=0.9745 | SOC MedAPE(raw)=6.655% | SOH MedAPE(raw)=2.398% | val_score=-0.498462
[stage2_soh] epoch 092 | VAL cls=0.9745 | SOC MedAPE(raw)=6.265% | SOH MedAPE(raw)=2.300% | val_score=-0.520619
[stage2_soh] epoch 093 | VAL cls=0.9745 | SOC MedAPE(raw)=6.785% | SOH MedAPE(raw)=2.318% | val_score=-0.511428
[stage2_soh] epoch 094 | VAL cls=0.9745 | SOC MedAPE(raw)=6.721% | SOH MedAPE(raw)=2.083% | val_score=-0.528329
[stage2_soh] epoch 095 | VAL cls=0.9745 | SOC MedAPE(raw)=6.358% | SOH MedAPE(raw)=2.374% | val_score=-0.505508
[stage2_soh] epoch 096 | VAL cls=0.9745 | SOC MedAPE(raw)=6.521% | SOH MedAPE(raw)=2.424% | val_score=-0.503447
[stage2_soh] epoch 097 | VAL cls=0.9745 | SOC MedAPE(raw)=6.575% | SOH MedAPE(raw)=2.311% | val_score=-0.511222
[stage2_soh] epoch 098 | VAL cls=0.9745 | SOC MedAPE(raw)=6.514% | SOH MedAPE(raw)=2.348% | val_score=-0.538714
