nohup: ignoring input
[CONFIG] orders = ['SOH_M_SOC']
[CACHE] Train tag: raw_train_c292c3d99a | hit=False
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=False
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] TRAIN samples = 68162 | IDs = 461
[DATA] VAL   samples = 510 | IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] TEST  samples = 1280 | IDs = 128
[DEVICE] cpu

==========================================================================================
[RUN] Hierarchy order: SOH_M_SOC
[RUN] Meaning: SOH -> Material -> SOC
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_order_ablation/SOH_M_SOC
==========================================================================================
[SOH_M_SOC] epoch 079 | VAL cls=0.9294 | SOC MedAPE=6.900% | SOH MedAPE=3.620% | val_score=0.788015
[SOH_M_SOC] epoch 080 | VAL cls=0.9059 | SOC MedAPE=7.710% | SOH MedAPE=4.141% | val_score=0.745968
[SOH_M_SOC] epoch 081 | VAL cls=0.8843 | SOC MedAPE=6.777% | SOH MedAPE=4.462% | val_score=0.727308
[SOH_M_SOC] epoch 082 | VAL cls=0.9314 | SOC MedAPE=6.482% | SOH MedAPE=4.117% | val_score=0.784204
[SOH_M_SOC] epoch 083 | VAL cls=0.9373 | SOC MedAPE=8.014% | SOH MedAPE=4.001% | val_score=0.777108
[SOH_M_SOC] epoch 084 | VAL cls=0.9039 | SOC MedAPE=8.348% | SOH MedAPE=3.962% | val_score=0.741207
[SOH_M_SOC] epoch 085 | VAL cls=0.8961 | SOC MedAPE=8.696% | SOH MedAPE=4.266% | val_score=0.723787
[SOH_M_SOC] epoch 086 | VAL cls=0.9294 | SOC MedAPE=6.487% | SOH MedAPE=3.766% | val_score=0.789225
[SOH_M_SOC] epoch 087 | VAL cls=0.9471 | SOC MedAPE=7.114% | SOH MedAPE=4.117% | val_score=0.793585
[SOH_M_SOC] epoch 088 | VAL cls=0.8902 | SOC MedAPE=7.525% | SOH MedAPE=4.240% | val_score=0.730139
[SOH_M_SOC] epoch 089 | VAL cls=0.8824 | SOC MedAPE=7.088% | SOH MedAPE=4.417% | val_score=0.723127
[SOH_M_SOC] epoch 090 | VAL cls=0.9216 | SOC MedAPE=7.077% | SOH MedAPE=4.046% | val_score=0.769870
[SOH_M_SOC] epoch 091 | VAL cls=0.9216 | SOC MedAPE=5.674% | SOH MedAPE=3.731% | val_score=0.790196
[SOH_M_SOC] epoch 092 | VAL cls=0.8647 | SOC MedAPE=7.244% | SOH MedAPE=4.452% | val_score=0.703220
[SOH_M_SOC] epoch 093 | VAL cls=0.9157 | SOC MedAPE=7.157% | SOH MedAPE=3.954% | val_score=0.765038
[EARLY STOP] SOH_M_SOC | best_epoch=73 | best_score=0.820302
[FINAL] SOH_M_SOC stable test evaluation with n_mc_soc=500, n_mc_soh=500
[BEST] SOH_M_SOC
{'order': 'SOH_M_SOC', 'description': 'SOH -> Material -> SOC', 'best_epoch': 73, 'best_score': 0.8203020249446077, 'cls_acc': 0.8765625, 'soc_rmse_raw': 8.752949494438642, 'soc_mae_raw': 4.7739559004685725, 'soc_mape_raw': 11.164915220978482, 'soc_medape_raw': 5.7844630238681845, 'soh_rmse_raw': 0.062448111994971314, 'soh_mae_raw': 0.04239482850399652, 'soh_mape_raw': 5.231575190577433, 'soh_medape_raw': 2.84660309586683, 'n_train': 68162, 'n_test': 1280, 'num_classes': 8, 'device': 'cpu', 'elapsed_sec': 11496.08193397522}

[SUMMARY]
       order             description  ...  soc_medape_pct  soh_medape_pct
0  SOH_M_SOC  SOH -> Material -> SOC  ...        5.784463        2.846603

[1 rows x 21 columns]
