nohup: ignoring input
[INFO] Device: cpu
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from non-test IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.781562, best_epoch=110
[stage1_soc] Loaded BEST checkpoint from epoch=110 | score=0.7815618664559785
[RESUME-stage2_soh] start_epoch=55, best_score=-0.736911, best_epoch=51
[stage2_soh] epoch 098 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.203% | VAL SOH MedAPE(raw)=5.602% | val_score=-0.791582 | TEST cls=0.8453
[stage2_soh] epoch 099 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.131% | VAL SOH MedAPE(raw)=4.981% | val_score=-0.761732 | TEST cls=0.8453
[stage2_soh] epoch 100 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.359% | VAL SOH MedAPE(raw)=5.501% | val_score=-0.791696 | TEST cls=0.8453
[stage2_soh] epoch 101 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.350% | VAL SOH MedAPE(raw)=4.847% | val_score=-0.761176 | TEST cls=0.8453
[stage2_soh] epoch 102 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.272% | VAL SOH MedAPE(raw)=4.863% | val_score=-0.767969 | TEST cls=0.8453
[stage2_soh] epoch 103 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.371% | VAL SOH MedAPE(raw)=5.170% | val_score=-0.775385 | TEST cls=0.8453
[stage2_soh] epoch 104 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.301% | VAL SOH MedAPE(raw)=5.686% | val_score=-0.791429 | TEST cls=0.8453
[stage2_soh] epoch 105 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.393% | VAL SOH MedAPE(raw)=5.389% | val_score=-0.781705 | TEST cls=0.8453
[stage2_soh] epoch 106 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.948% | VAL SOH MedAPE(raw)=5.380% | val_score=-0.778339 | TEST cls=0.8453
[stage2_soh] epoch 107 | VAL cls=0.9235 | VAL SOC MedAPE(raw)=8.423% | VAL SOH MedAPE(raw)=5.253% | val_score=-0.776948 | TEST cls=0.8453
