nohup: ignoring input

==========================================================================================
[RUN] Hierarchy ablation: soc_to_soh
[RUN] Meaning: Partial hierarchy: z->M, z->SOC, z+SOC->SOH
[RUN] Pulse list: [30, 50, 70, 100, 300, 500, 700, 1000, 3000, 5000]
[RUN] Output directory: /scratch/lt28/qq002/Hierachical_battery_metadata_reconstruction/results/ablation/hierarchy_ablation/soc_to_soh
==========================================================================================
[INFO] Device: cpu
[INFO] Structure mode: soc_to_soh
[INFO] Meaning: Partial hierarchy: z->M, z->SOC, z+SOC->SOH
[CACHE] Train tag: raw_train_c292c3d99a | hit=True
[CACHE] Test  tag: raw_test_4fc0cd64ff | hit=True
[WARN] Dropping 13 invalid rows from RAW_TRAIN.
[DATA] Final TRAIN samples = 68162 | unique IDs = 461
[DATA] Final VAL   samples = 510 | unique IDs = 51 (from TEST_RANDOM, IDs drawn from training IDs)
[DATA] Final TEST  samples = 1280 | unique IDs = 128
[NORM] Applied U1-U41 z-score using TRAIN statistics only.
[LABEL] Number of material-capacity classes: 8
[LABEL] Classes: ['LFP_35Ah', 'LFP_68Ah', 'LMO_10Ah', 'LMO_24Ah', 'LMO_25Ah', 'LMO_26Ah', 'NMC_15Ah', 'NMC_21Ah']
[RESUME-stage1_soc] start_epoch=200, best_score=0.830146, best_epoch=189
[soc_to_soh | stage1_soc] Loaded BEST checkpoint from epoch=189 | score=0.8301455025321717
[RESUME-stage2_soh] start_epoch=26, best_score=-0.430162, best_epoch=16
[soc_to_soh | stage2_soh] epoch 073 | VAL cls=0.9745 | SOC MedAPE(raw)=7.036% | SOH MedAPE(raw)=2.781% | score=-0.439209
[soc_to_soh | stage2_soh] epoch 074 | VAL cls=0.9745 | SOC MedAPE(raw)=6.515% | SOH MedAPE(raw)=2.857% | score=-0.465626
[soc_to_soh | stage2_soh] epoch 075 | VAL cls=0.9745 | SOC MedAPE(raw)=6.561% | SOH MedAPE(raw)=2.764% | score=-0.512698
[soc_to_soh | stage2_soh] epoch 076 | VAL cls=0.9745 | SOC MedAPE(raw)=6.734% | SOH MedAPE(raw)=2.809% | score=-0.487920
[soc_to_soh | stage2_soh] epoch 077 | VAL cls=0.9745 | SOC MedAPE(raw)=6.336% | SOH MedAPE(raw)=3.102% | score=-0.507731
[soc_to_soh | stage2_soh] epoch 078 | VAL cls=0.9745 | SOC MedAPE(raw)=6.656% | SOH MedAPE(raw)=2.608% | score=-0.451903
[soc_to_soh | stage2_soh] epoch 079 | VAL cls=0.9745 | SOC MedAPE(raw)=6.360% | SOH MedAPE(raw)=2.567% | score=-0.463205
[soc_to_soh | stage2_soh] epoch 080 | VAL cls=0.9745 | SOC MedAPE(raw)=6.539% | SOH MedAPE(raw)=2.786% | score=-0.480661
[soc_to_soh | stage2_soh] epoch 081 | VAL cls=0.9745 | SOC MedAPE(raw)=6.443% | SOH MedAPE(raw)=2.501% | score=-0.442679
[soc_to_soh | stage2_soh] epoch 082 | VAL cls=0.9745 | SOC MedAPE(raw)=6.525% | SOH MedAPE(raw)=2.699% | score=-0.475765
[soc_to_soh | stage2_soh] epoch 083 | VAL cls=0.9745 | SOC MedAPE(raw)=6.469% | SOH MedAPE(raw)=2.844% | score=-0.480959
[soc_to_soh | stage2_soh] epoch 084 | VAL cls=0.9745 | SOC MedAPE(raw)=6.839% | SOH MedAPE(raw)=2.934% | score=-0.463277
[soc_to_soh | stage2_soh] epoch 085 | VAL cls=0.9745 | SOC MedAPE(raw)=6.680% | SOH MedAPE(raw)=3.000% | score=-0.472032
[soc_to_soh | stage2_soh] epoch 086 | VAL cls=0.9745 | SOC MedAPE(raw)=6.522% | SOH MedAPE(raw)=2.881% | score=-0.432440
[soc_to_soh | stage2_soh] epoch 087 | VAL cls=0.9745 | SOC MedAPE(raw)=6.628% | SOH MedAPE(raw)=2.783% | score=-0.496916
[soc_to_soh | stage2_soh] epoch 088 | VAL cls=0.9745 | SOC MedAPE(raw)=6.774% | SOH MedAPE(raw)=2.505% | score=-0.469392
[soc_to_soh | stage2_soh] epoch 089 | VAL cls=0.9745 | SOC MedAPE(raw)=6.275% | SOH MedAPE(raw)=2.644% | score=-0.407674
[soc_to_soh | stage2_soh] epoch 090 | VAL cls=0.9745 | SOC MedAPE(raw)=6.314% | SOH MedAPE(raw)=2.752% | score=-0.461522
[soc_to_soh | stage2_soh] epoch 091 | VAL cls=0.9745 | SOC MedAPE(raw)=6.837% | SOH MedAPE(raw)=2.841% | score=-0.445341
[soc_to_soh | stage2_soh] epoch 092 | VAL cls=0.9745 | SOC MedAPE(raw)=6.545% | SOH MedAPE(raw)=2.584% | score=-0.489617
[soc_to_soh | stage2_soh] epoch 093 | VAL cls=0.9745 | SOC MedAPE(raw)=7.131% | SOH MedAPE(raw)=2.942% | score=-0.489883
[soc_to_soh | stage2_soh] epoch 094 | VAL cls=0.9745 | SOC MedAPE(raw)=6.562% | SOH MedAPE(raw)=2.647% | score=-0.455328
[soc_to_soh | stage2_soh] epoch 095 | VAL cls=0.9745 | SOC MedAPE(raw)=6.483% | SOH MedAPE(raw)=3.020% | score=-0.453106
[soc_to_soh | stage2_soh] epoch 096 | VAL cls=0.9745 | SOC MedAPE(raw)=6.702% | SOH MedAPE(raw)=2.667% | score=-0.441448
[soc_to_soh | stage2_soh] epoch 097 | VAL cls=0.9745 | SOC MedAPE(raw)=6.650% | SOH MedAPE(raw)=2.647% | score=-0.476737
[soc_to_soh | stage2_soh] epoch 098 | VAL cls=0.9745 | SOC MedAPE(raw)=6.479% | SOH MedAPE(raw)=2.666% | score=-0.442469
[soc_to_soh | stage2_soh] epoch 099 | VAL cls=0.9745 | SOC MedAPE(raw)=6.170% | SOH MedAPE(raw)=2.727% | score=-0.511154
[soc_to_soh | stage2_soh] epoch 100 | VAL cls=0.9745 | SOC MedAPE(raw)=6.557% | SOH MedAPE(raw)=2.594% | score=-0.475548
[soc_to_soh | stage2_soh] epoch 101 | VAL cls=0.9745 | SOC MedAPE(raw)=6.745% | SOH MedAPE(raw)=2.868% | score=-0.448596
[soc_to_soh | stage2_soh] epoch 102 | VAL cls=0.9745 | SOC MedAPE(raw)=6.498% | SOH MedAPE(raw)=2.665% | score=-0.454973
[soc_to_soh | stage2_soh] epoch 103 | VAL cls=0.9745 | SOC MedAPE(raw)=6.691% | SOH MedAPE(raw)=2.664% | score=-0.451345
[soc_to_soh | stage2_soh] epoch 104 | VAL cls=0.9745 | SOC MedAPE(raw)=6.399% | SOH MedAPE(raw)=2.509% | score=-0.446670
[soc_to_soh | stage2_soh] epoch 105 | VAL cls=0.9745 | SOC MedAPE(raw)=6.816% | SOH MedAPE(raw)=2.764% | score=-0.452414
[soc_to_soh | stage2_soh] epoch 106 | VAL cls=0.9745 | SOC MedAPE(raw)=6.453% | SOH MedAPE(raw)=2.752% | score=-0.488291
[soc_to_soh | stage2_soh] epoch 107 | VAL cls=0.9745 | SOC MedAPE(raw)=6.024% | SOH MedAPE(raw)=2.377% | score=-0.455271
[soc_to_soh | stage2_soh] epoch 108 | VAL cls=0.9745 | SOC MedAPE(raw)=6.311% | SOH MedAPE(raw)=2.572% | score=-0.453022
[soc_to_soh | stage2_soh] epoch 109 | VAL cls=0.9745 | SOC MedAPE(raw)=6.805% | SOH MedAPE(raw)=2.621% | score=-0.470399
[soc_to_soh | stage2_soh] epoch 110 | VAL cls=0.9745 | SOC MedAPE(raw)=7.207% | SOH MedAPE(raw)=2.578% | score=-0.440233
[soc_to_soh | stage2_soh] epoch 111 | VAL cls=0.9745 | SOC MedAPE(raw)=6.483% | SOH MedAPE(raw)=2.758% | score=-0.496082
[soc_to_soh | stage2_soh] epoch 112 | VAL cls=0.9745 | SOC MedAPE(raw)=6.571% | SOH MedAPE(raw)=2.580% | score=-0.450883
[soc_to_soh | stage2_soh] epoch 113 | VAL cls=0.9745 | SOC MedAPE(raw)=6.565% | SOH MedAPE(raw)=2.530% | score=-0.448823
[soc_to_soh | stage2_soh] epoch 114 | VAL cls=0.9745 | SOC MedAPE(raw)=6.416% | SOH MedAPE(raw)=2.418% | score=-0.431090
[soc_to_soh | stage2_soh] epoch 115 | VAL cls=0.9745 | SOC MedAPE(raw)=6.521% | SOH MedAPE(raw)=2.622% | score=-0.433125
[soc_to_soh | stage2_soh] epoch 116 | VAL cls=0.9745 | SOC MedAPE(raw)=6.889% | SOH MedAPE(raw)=2.885% | score=-0.453442
[soc_to_soh | stage2_soh] epoch 117 | VAL cls=0.9745 | SOC MedAPE(raw)=6.911% | SOH MedAPE(raw)=2.542% | score=-0.478446
[soc_to_soh | stage2_soh] epoch 118 | VAL cls=0.9745 | SOC MedAPE(raw)=6.429% | SOH MedAPE(raw)=2.919% | score=-0.482242
[soc_to_soh | stage2_soh] epoch 119 | VAL cls=0.9745 | SOC MedAPE(raw)=6.821% | SOH MedAPE(raw)=3.036% | score=-0.472721
[soc_to_soh | stage2_soh] epoch 120 | VAL cls=0.9745 | SOC MedAPE(raw)=6.700% | SOH MedAPE(raw)=2.810% | score=-0.441043
