File_Name,Mat,No.,ID,Qn,Q,SOH,Pt,SOC,SOCR,source_file,source_dir,label,sheet,pulse_ms
LMO_C_10_B_76_SOC_5-85_Part_1-1_ID_PIP15512A50200153.xlsx,LMO,76,PIP15512A50200153,10,8.8919,0.8891899999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_77_SOC_5-85_Part_1-1_ID_PIP15N15A03208383.xlsx,LMO,77,PIP15N15A03208383,10,8.746,0.8746,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_78_SOC_5-85_Part_1-1_ID_PIP15N15A03204208.xlsx,LMO,78,PIP15N15A03204208,10,8.9547,0.8954700000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_79_SOC_5-85_Part_1-1_ID_PIP15D26A03252860.xlsx,LMO,79,PIP15D26A03252860,10,9.2377,0.92377,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_7_SOC_5-55_Part_1-1_ID_PIP15829A00217327.xlsx,LMO,7,PIP15829A00217327,10,6.1491,0.61491,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_80_SOC_5-85_Part_1-1_ID_PIP15D26A03256484.xlsx,LMO,80,PIP15D26A03256484,10,9.3203,0.9320299999999999,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_81_SOC_5-85_Part_1-1_ID_PIP15D28A03264309.xlsx,LMO,81,PIP15D28A03264309,10,9.1394,0.91394,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_82_SOC_5-85_Part_1-1_ID_PIP1622500C087737.xlsx,LMO,82,PIP1622500C087737,10,9.1713,0.91713,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_83_SOC_5-85_Part_1-1_ID_PIP15D25A03222735.xlsx,LMO,83,PIP15D25A03222735,10,9.4788,0.94788,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_84_SOC_5-85_Part_1-1_ID_PIP15N08A03232188.xlsx,LMO,84,PIP15N08A03232188,10,8.9175,0.89175,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_85_SOC_5-85_Part_1-1_ID_PIP15N14A03236503.xlsx,LMO,85,PIP15N14A03236503,10,8.7994,0.87994,0.07,5,0.05,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_86_SOC_5-85_Part_1-1_ID_PIP15D23A03282874.xlsx,LMO,86,PIP15D23A03282874,10,8.8511,0.8851100000000001,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_87_SOC_5-85_Part_1-1_ID_PIP15D19A03271997.xlsx,LMO,87,PIP15D19A03271997,10,8.8458,0.88458,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_88_SOC_5-85_Part_1-1_ID_PIP15D01A03220958.xlsx,LMO,88,PIP15D01A03220958,10,8.7494,0.8749399999999999,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_89_SOC_5-85_Part_1-1_ID_PIP16N1700C039158.xlsx,LMO,89,PIP16N1700C039158,10,9.1862,0.91862,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_8_SOC_5-55_Part_1-1_ID_PIP15825A00238596.xlsx,LMO,8,PIP15825A00238596,10,5.8605,0.58605,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
LMO_C_10_B_90_SOC_5-85_Part_1-1_ID_PIP15D25A03205744.xlsx,LMO,90,PIP15D25A03205744,10,9.073,0.9073,0.07,5,0.04999,LMO_10Ah_W_70.xlsx,10Ah LMO,LMO_10Ah,SOC5,70
