U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH
3.7165,3.7511,3.7534,3.7198,3.7174,3.683,3.6805,3.7146,3.717,3.786,3.7904,3.7232,3.7181,3.6489,3.6443,3.7119,3.717,3.8203,3.8268,3.7262,3.7184,3.615,3.6082,3.7095,3.7167,3.8543,3.8624,3.729,3.7188,3.5813,3.5724,3.7065,3.7165,3.8877,3.8975,3.7314,3.719,3.5478,3.5369,3.7039,3.7163,20.0,0.609108
3.7894,3.8257,3.828,3.7927,3.7901,3.7539,3.7516,3.7869,3.7895,3.8622,3.8666,3.7957,3.7906,3.7181,3.7137,3.7843,3.7894,3.8982,3.9044,3.7983,3.7908,3.6826,3.6761,3.7818,3.7892,3.9335,3.9416,3.8011,3.7913,3.6473,3.6389,3.779,3.7888,3.9684,3.9779,3.8036,3.7915,3.6124,3.602,3.7769,3.7888,20.0,0.525944
3.7321,3.7792,3.7815,3.7356,3.7335,3.6867,3.6844,3.7304,3.733,3.8271,3.831,3.7393,3.7344,3.641,3.637,3.7283,3.7332,3.8735,3.8787,3.7421,3.7349,3.5959,3.5903,3.7263,3.7332,3.9189,3.9256,3.7449,3.7355,3.5517,3.5443,3.7241,3.733,3.9628,3.9712,3.7481,3.736,3.5085,3.5,3.7223,3.733,20.0,0.632332
3.6772,3.7149,3.7177,3.6816,3.6784,3.6407,3.6377,3.6742,3.6779,3.7532,3.7585,3.6861,3.6791,3.6038,3.5982,3.671,3.6779,3.7904,3.7983,3.69,3.6796,3.5669,3.5585,3.6677,3.6777,3.8269,3.8371,3.6937,3.68,3.5302,3.5193,3.6644,3.6775,3.8631,3.8752,3.697,3.6802,3.4941,3.4807,3.661,3.6772,20.0,0.66908
3.5824,3.6059,3.6098,3.5878,3.5834,3.5601,3.5562,3.5782,3.5831,3.63,3.6373,3.5931,3.5838,3.5374,3.5297,3.5736,3.5829,3.653,3.6638,3.598,3.5843,3.5148,3.5035,3.5694,3.5829,3.6758,3.6896,3.6026,3.5845,3.4925,3.4777,3.565,3.5827,3.6981,3.7147,3.6068,3.5848,3.4702,3.4523,3.5608,3.5824,20.0,0.931276
3.6486,3.6849,3.6884,3.6538,3.6498,3.6136,3.6101,3.6449,3.6493,3.7216,3.7281,3.6596,3.6505,3.5782,3.5713,3.641,3.6493,3.7574,3.7669,3.664,3.651,3.5427,3.5327,3.637,3.6491,3.7925,3.8045,3.6679,3.6512,3.5074,3.4944,3.6331,3.6489,3.8271,3.8412,3.6721,3.6517,3.4728,3.4568,3.6294,3.6486,20.0,0.73722
3.6921,3.7334,3.736,3.6956,3.6926,3.6515,3.6489,3.6895,3.6921,3.7748,3.7797,3.6988,3.6932,3.6106,3.6057,3.6865,3.6919,3.8157,3.8227,3.7019,3.6935,3.5703,3.5627,3.6835,3.6916,3.8561,3.865,3.7051,3.6937,3.5299,3.5204,3.6809,3.6916,3.8959,3.9066,3.7077,3.694,3.4902,3.4786,3.6789,3.6916,20.0,0.647664
3.605,3.6361,3.6394,3.6101,3.6061,3.5755,3.5717,3.6013,3.6057,3.6673,3.674,3.6152,3.6066,3.5452,3.5381,3.5973,3.6057,3.6979,3.7076,3.6198,3.6071,3.5148,3.5046,3.5934,3.6056,3.7279,3.7406,3.6245,3.6075,3.4848,3.4714,3.5894,3.6054,3.7578,3.773,3.6289,3.6078,3.4551,3.4386,3.5857,3.6054,20.0,0.852996
3.6131,3.6394,3.6414,3.6159,3.614,3.5878,3.5859,3.6115,3.6136,3.6663,3.6698,3.6187,3.6145,3.562,3.5587,3.6096,3.6138,3.6926,3.6977,3.6212,3.615,3.5367,3.5313,3.6077,3.6136,3.7184,3.7251,3.6238,3.6152,3.5111,3.5044,3.6057,3.6136,3.7439,3.752,3.6257,3.6154,3.486,3.4776,3.6036,3.6133,20.0,0.822608
3.5801,3.6034,3.6073,3.5852,3.5811,3.5581,3.5543,3.5764,3.5808,3.6273,3.6343,3.5901,3.5817,3.5355,3.5281,3.5722,3.5808,3.6503,3.6605,3.5947,3.582,3.5132,3.5023,3.568,3.5808,3.6728,3.6861,3.5992,3.5824,3.4909,3.4769,3.5639,3.5806,3.6951,3.7111,3.6033,3.5827,3.4691,3.4518,3.5596,3.5803,20.0,0.938332
3.6145,3.6414,3.6443,3.6184,3.6154,3.5887,3.5859,3.6117,3.6152,3.6689,3.6742,3.6222,3.6161,3.5627,3.5569,3.6087,3.6152,3.6956,3.7035,3.6259,3.6164,3.5367,3.5283,3.6056,3.615,3.7218,3.732,3.6289,3.6166,3.5107,3.4999,3.6024,3.615,3.7478,3.7599,3.6319,3.6168,3.4853,3.4719,3.5996,3.6147,20.0,0.8185800000000001
3.6477,3.6844,3.6875,3.6521,3.6484,3.6119,3.6085,3.644,3.6477,3.7211,3.7272,3.6563,3.6487,3.5757,3.5697,3.6405,3.6477,3.7572,3.7658,3.6603,3.6491,3.5404,3.5316,3.6372,3.6475,3.7927,3.8036,3.6637,3.6493,3.5058,3.4944,3.6335,3.6473,3.8271,3.8399,3.6672,3.6496,3.4716,3.4581,3.6301,3.647,20.0,0.7280800000000001
3.694,3.729,3.7309,3.6972,3.6947,3.66,3.6579,3.6919,3.6944,3.7639,3.7679,3.7,3.6953,3.6257,3.6219,3.6895,3.6942,3.7981,3.8036,3.7028,3.6956,3.592,3.5862,3.6874,3.694,3.832,3.8392,3.7053,3.696,3.5583,3.5508,3.6851,3.6939,3.8656,3.8743,3.7079,3.6961,3.525,3.5158,3.6826,3.6935,20.0,0.668608
3.6368,3.6719,3.6744,3.6407,3.638,3.6031,3.6005,3.6345,3.6375,3.7076,3.7123,3.6445,3.6384,3.5687,3.5638,3.6317,3.6375,3.7421,3.7492,3.6479,3.6389,3.5348,3.5276,3.6291,3.6375,3.7762,3.7853,3.6512,3.6391,3.5011,3.4918,3.6261,3.6373,3.8097,3.8206,3.6547,3.6396,3.4677,3.4563,3.6235,3.6372,20.0,0.7965800000000001
3.7469,3.7973,3.7994,3.7502,3.7479,3.6979,3.696,3.7451,3.7474,3.8478,3.8515,3.7532,3.7486,3.6486,3.6449,3.743,3.7472,3.8972,3.9024,3.756,3.749,3.5999,3.5945,3.7406,3.7469,3.9454,3.9521,3.7586,3.7495,3.5522,3.545,3.7383,3.7465,3.9932,4.0011,3.7611,3.7497,3.5048,3.4962,3.7363,3.7464,20.0,0.596692
3.8996,3.9479,3.9502,3.9033,3.9007,3.8527,3.8503,3.8973,3.9,3.9962,4.0004,3.9065,3.9014,3.8055,3.8011,3.8947,3.8998,4.0436,4.0494,3.9098,3.9019,3.7588,3.7525,3.8921,3.8996,4.09,4.0974,3.9126,3.9024,3.7128,3.7046,3.89,3.8993,4.1357,4.1447,3.9158,3.9028,3.6677,3.6579,3.8877,3.8991,20.0,0.426472
3.7307,3.7734,3.776,3.7348,3.7314,3.6889,3.6863,3.7276,3.7309,3.816,3.821,3.7383,3.732,3.647,3.6419,3.7244,3.7307,3.8578,3.8647,3.7418,3.7323,3.6057,3.5982,3.7214,3.7304,3.8989,3.9075,3.7448,3.7325,3.5646,3.555,3.7184,3.7302,3.9395,3.9497,3.7485,3.733,3.5244,3.5129,3.716,3.73,20.0,0.618108
3.6954,3.7274,3.7295,3.6986,3.6963,3.6647,3.6626,3.6935,3.696,3.7597,3.7634,3.7014,3.6967,3.6333,3.6293,3.6918,3.696,3.7915,3.7971,3.7046,3.6974,3.6022,3.5962,3.6891,3.6958,3.8227,3.8299,3.7067,3.6975,3.5708,3.5632,3.6867,3.6956,3.8536,3.8622,3.7093,3.6979,3.5401,3.5306,3.6844,3.6953,20.0,0.657108
