U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,SOC,SOH,material_capacity,pulse_ms
3.4405,3.4605,3.4621,3.4435,3.4416,3.4219,3.4202,3.4391,3.4412,3.4809,3.4839,3.4461,3.4421,3.4024,3.3993,3.437,3.441,3.5006,3.5051,3.4484,3.4426,3.3828,3.378,3.4349,3.4409,3.5201,3.5262,3.4512,3.443,3.3636,3.3571,3.4326,3.4407,3.5397,3.5471,3.4535,3.4433,3.344,3.3359,3.4303,3.4405,20.0,0.8003458333333334,LMO_24Ah,100
3.4237,3.4414,3.443,3.4265,3.4247,3.4073,3.4059,3.4224,3.4244,3.4595,3.4623,3.4291,3.4254,3.3903,3.3873,3.4205,3.4242,3.4769,3.4811,3.4314,3.4258,3.3731,3.3687,3.4186,3.4242,3.4941,3.4997,3.4333,3.4261,3.3557,3.3499,3.4163,3.4238,3.5113,3.5181,3.4356,3.4265,3.3385,3.3313,3.414,3.4235,20.0,0.8138875,LMO_24Ah,100
3.4497,3.4707,3.4725,3.453,3.4509,3.4303,3.4284,3.4481,3.4505,3.4921,3.4955,3.456,3.4516,3.41,3.4063,3.4458,3.4504,3.5127,3.5178,3.4588,3.4519,3.3896,3.3842,3.4433,3.4502,3.5332,3.5397,3.4614,3.4523,3.3691,3.3619,3.4409,3.45,3.5534,3.5617,3.464,3.4528,3.3489,3.3394,3.4384,3.4498,20.0,0.7946791666666666,LMO_24Ah,100
3.4489,3.4691,3.4711,3.4521,3.4502,3.43,3.4284,3.4474,3.4498,3.4897,3.4932,3.4553,3.4509,3.4107,3.407,3.4451,3.4495,3.5097,3.5146,3.4579,3.4512,3.3912,3.3856,3.4428,3.4495,3.5294,3.536,3.4605,3.4516,3.3714,3.3642,3.4403,3.4493,3.549,3.5571,3.463,3.4519,3.3517,3.3427,3.4377,3.4491,20.0,0.7981250000000001,LMO_24Ah,100
3.4349,3.4563,3.4583,3.4382,3.4361,3.4151,3.413,3.433,3.4356,3.4777,3.4814,3.4416,3.4367,3.3943,3.3903,3.4307,3.4354,3.4986,3.5043,3.4442,3.437,3.3735,3.3675,3.4277,3.4351,3.5195,3.5267,3.4472,3.4374,3.3526,3.3443,3.4258,3.4353,3.5406,3.5492,3.4502,3.4379,3.332,3.3217,3.423,3.4351,20.0,0.8136583333333333,LMO_24Ah,100
3.493,3.5172,3.5192,3.4965,3.4944,3.4704,3.4684,3.4914,3.4939,3.5418,3.5457,3.5,3.4951,3.447,3.4428,3.4888,3.4939,3.5659,3.5713,3.503,3.4955,3.4233,3.4172,3.4862,3.4937,3.5892,3.5966,3.5053,3.4956,3.3996,3.3912,3.4835,3.4934,3.6129,3.6217,3.5086,3.4962,3.3761,3.3657,3.4811,3.4934,20.0,0.7289875,LMO_24Ah,100
3.4272,3.4488,3.4509,3.4305,3.4281,3.4068,3.4047,3.4251,3.4277,3.4707,3.4746,3.4337,3.4288,3.3856,3.3815,3.4226,3.4275,3.4921,3.4976,3.4361,3.4291,3.3643,3.3582,3.4198,3.4272,3.513,3.5204,3.4391,3.4293,3.3431,3.335,3.417,3.427,3.5343,3.5431,3.4419,3.4296,3.3217,3.3115,3.4147,3.4268,20.0,0.8255416666666666,LMO_24Ah,100
3.4456,3.4665,3.4683,3.4486,3.4465,3.4258,3.424,3.4435,3.4458,3.4874,3.4907,3.4514,3.4467,3.4054,3.4017,3.4412,3.4456,3.5078,3.5129,3.4537,3.4472,3.3849,3.3794,3.4389,3.4454,3.5283,3.535,3.4563,3.4475,3.3645,3.3568,3.4363,3.4451,3.5488,3.5569,3.4591,3.4479,3.3438,3.3343,3.4337,3.4449,20.0,0.7810791666666667,LMO_24Ah,100
3.5652,3.5808,3.5831,3.5683,3.5659,3.5506,3.5481,3.5631,3.5655,3.5964,3.6005,3.5708,3.5662,3.5352,3.5306,3.5604,3.5655,3.6117,3.6175,3.5734,3.5664,3.5197,3.5129,3.558,3.5653,3.6268,3.6343,3.5761,3.5666,3.5046,3.4958,3.555,3.5652,3.6414,3.6507,3.5782,3.5669,3.4893,3.4779,3.5527,3.5652,20.0,1.067841666666667,LMO_24Ah,100
3.5441,3.5564,3.5578,3.5462,3.5448,3.5327,3.5313,3.5429,3.5443,3.5689,3.5713,3.5483,3.5452,3.5206,3.5181,3.5411,3.5443,3.5808,3.5845,3.5501,3.5455,3.5086,3.5048,3.5394,3.5441,3.5929,3.5975,3.552,3.5457,3.4965,3.4916,3.538,3.5441,3.605,3.6106,3.5539,3.546,3.4846,3.4783,3.536,3.5439,20.0,1.05445,LMO_24Ah,100
3.5397,3.5532,3.5546,3.542,3.5406,3.5274,3.526,3.5385,3.5402,3.5669,3.5694,3.5443,3.5411,3.5144,3.5116,3.5367,3.5401,3.5799,3.5838,3.5466,3.5415,3.5013,3.4972,3.535,3.5401,3.5931,3.5982,3.5485,3.5418,3.4883,3.4827,3.5332,3.5401,3.6061,3.6122,3.5504,3.542,3.4753,3.4684,3.5311,3.5397,20.0,1.065441666666667,LMO_24Ah,100
3.5373,3.5501,3.5513,3.5395,3.5381,3.5257,3.5243,3.5362,3.5378,3.5631,3.5655,3.542,3.5387,3.5136,3.5109,3.5346,3.5378,3.5755,3.5792,3.5439,3.539,3.5013,3.4974,3.5329,3.5378,3.588,3.5929,3.5459,3.5394,3.489,3.4837,3.5311,3.5376,3.6003,3.6061,3.5476,3.5397,3.4765,3.47,3.5294,3.5374,20.0,1.060616666666667,LMO_24Ah,100
3.5374,3.5657,3.5687,3.5422,3.5388,3.5109,3.5078,3.5344,3.5383,3.5943,3.5999,3.5469,3.5394,3.4834,3.4772,3.5309,3.5383,3.6221,3.6303,3.5513,3.5401,3.4558,3.4465,3.5267,3.5381,3.6494,3.6603,3.5553,3.5404,3.4281,3.4156,3.5227,3.5378,3.6765,3.6896,3.5599,3.5408,3.401,3.3852,3.5179,3.5374,20.0,0.6706375000000001,LMO_24Ah,100
3.4948,3.5195,3.5218,3.4988,3.4962,3.4719,3.4693,3.4927,3.4958,3.5446,3.5492,3.5028,3.4969,3.4481,3.4432,3.49,3.496,3.569,3.5757,3.5065,3.4976,3.424,3.4166,3.4867,3.4958,3.5931,3.6019,3.5097,3.4979,3.4,3.3901,3.4835,3.4955,3.6168,3.6273,3.5132,3.4983,3.3761,3.364,3.4802,3.4953,20.0,0.76035,LMO_24Ah,100
3.427,3.4467,3.4486,3.43,3.4279,3.4084,3.4065,3.4251,3.4274,3.4667,3.47,3.4328,3.4284,3.3891,3.3854,3.4228,3.4272,3.486,3.4913,3.4354,3.4288,3.3696,3.364,3.4205,3.427,3.5055,3.5123,3.4379,3.4291,3.3503,3.3429,3.4175,3.4267,3.5248,3.533,3.4409,3.4295,3.331,3.3215,3.4154,3.4265,20.0,0.8154041666666667,LMO_24Ah,100
3.4423,3.463,3.4649,3.4456,3.4435,3.4233,3.4214,3.4407,3.4432,3.4839,3.4877,3.4493,3.4444,3.4035,3.3996,3.4384,3.4433,3.5044,3.5099,3.4521,3.4449,3.3835,3.3777,3.4358,3.4432,3.5246,3.5315,3.4549,3.4453,3.3636,3.3557,3.4333,3.443,3.5446,3.5532,3.4574,3.4456,3.3434,3.3336,3.4305,3.4426,20.0,0.8017541666666667,LMO_24Ah,100
3.4593,3.4813,3.4834,3.4625,3.4602,3.4384,3.4363,3.4572,3.4597,3.5034,3.5072,3.4656,3.4607,3.417,3.413,3.4546,3.4595,3.525,3.5306,3.4684,3.4611,3.3954,3.3891,3.4519,3.4593,3.5464,3.5538,3.4712,3.4614,3.3738,3.3654,3.4493,3.4591,3.568,3.5769,3.4741,3.4618,3.3519,3.3417,3.446,3.4586,20.0,0.7800291666666667,LMO_24Ah,100
3.4361,3.4544,3.456,3.4391,3.4372,3.4193,3.4177,3.4347,3.4368,3.4728,3.476,3.4419,3.4379,3.4019,3.3986,3.4328,3.4368,3.4909,3.4953,3.4442,3.4382,3.384,3.3794,3.4305,3.4365,3.5086,3.5146,3.4465,3.4386,3.3664,3.3599,3.4284,3.4363,3.5264,3.5336,3.4491,3.4389,3.3487,3.3408,3.4261,3.4361,20.0,0.7973083333333334,LMO_24Ah,100
3.4646,3.4888,3.4914,3.4688,3.4658,3.4421,3.4395,3.4623,3.4653,3.5132,3.5179,3.4727,3.4665,3.4186,3.4135,3.4591,3.4653,3.5371,3.5439,3.476,3.4669,3.3949,3.3872,3.4558,3.4651,3.5604,3.5694,3.4798,3.4674,3.3714,3.361,3.4521,3.4647,3.5838,3.5947,3.4832,3.4677,3.3478,3.3347,3.4488,3.4646,20.0,0.792125,LMO_24Ah,100
3.467,3.492,3.4944,3.4711,3.4684,3.4439,3.4412,3.4649,3.4679,3.5172,3.5218,3.4751,3.469,3.4196,3.4147,3.4618,3.4679,3.5418,3.5485,3.4788,3.4697,3.3954,3.3879,3.4588,3.4677,3.566,3.5748,3.4821,3.47,3.3712,3.361,3.4551,3.4674,3.5899,3.6008,3.4858,3.4704,3.3469,3.3341,3.4519,3.4674,20.0,0.7840458333333333,LMO_24Ah,100
3.4763,3.4976,3.4993,3.4793,3.4772,3.4563,3.4546,3.4746,3.4769,3.519,3.5222,3.4821,3.4779,3.4356,3.4323,3.4727,3.4767,3.5399,3.5446,3.4848,3.4783,3.4149,3.4098,3.4704,3.4765,3.5608,3.5669,3.4872,3.4788,3.3942,3.3873,3.4683,3.4765,3.5815,3.589,3.4895,3.479,3.3736,3.365,3.466,3.4763,20.0,0.7370166666666668,LMO_24Ah,100
