soc_flow_base_noise,soh_flow_base_noise
-0.13253689,0.01707369
-0.12446046,-1.7794881
1.0272443,-0.932252
0.18692541,-1.107656
-1.0187149,-0.8528563
0.7849126,-1.2823784
-0.6311126,-2.9930825
-2.1179512,-0.73153985
0.73584056,-1.9574445
0.9802251,0.46453202
1.6615539,-0.5196235
1.145426,-2.9168973
0.40926647,0.013219833
-0.7191162,-2.0328054
1.5925646,-1.4594893
-0.13551307,-2.0277596
-0.49517202,-2.3402677
-0.5223155,2.900635
-2.8443253,-2.9932778
-2.1334648,-2.9919422
-0.29618835,-2.137935
-2.0661094,-2.9931123
-0.047902346,-1.9883196
2.858889,0.68105245
0.27192307,1.6669152
-1.1004523,-0.8694755
1.0905218,1.7012478
-2.8520904,-2.5202847
0.0024414062,-1.9806378
-0.05349493,1.3232541
-1.1957889,-1.2792299
-1.1579695,-2.993196
-0.8367012,-2.8819788
1.0083115,-0.3270781
-1.6060107,-2.663263
0.25212336,-0.097896054
-0.64832735,-2.153667
-0.007634878,-1.3456253
-0.46602488,-0.006210804
0.5672942,-0.94607425
1.0762064,0.05793059
1.0173712,2.5492573
1.1541495,1.8058692
1.0424676,1.1088084
0.9667188,-2.48432
2.5358725,2.1817288
-1.5374796,-0.54381704
-0.48528552,-0.8176682
-0.16066241,1.7293712
0.7083566,0.40635747
0.60656095,-1.8117782
-0.40555406,-2.712406
-0.07277775,-0.6308925
-0.096066475,-1.877698
-0.38041377,-2.1752179
-1.084424,-2.903577
-0.049475193,-1.0584934
-0.6346588,-2.6962638
-2.9406092,-2.9847984
-1.5618827,-2.9445732
2.691377,-1.4580137
2.9322681,-0.18101776
1.156435,1.5418898
-1.2621592,-2.7358918
-2.447961,-1.9398968
-2.6303656,-2.9424937
-0.83830464,-0.65691864
0.5313668,-0.7250701
1.0730386,2.35295
-0.7233468,1.1028342
-1.511995,-1.3325942
2.3540845,2.9045143
-0.10373445,-2.4671967
0.98315704,-0.9082731
0.57361364,-2.27973
-1.846226,-2.9942207
2.9917371,-2.21907
0.020656347,-0.541993
-1.1095738,-1.1291283
1.4615483,2.0082731
-0.13357303,-2.9963412
-0.53708386,-2.9962041
1.6969812,2.3066754
-1.8176959,-0.98943704
2.9551642,1.5646015
-2.8234062,-2.6779373
0.3516667,-0.47873083
-1.8665118,-2.9978752
-2.9847648,-2.9429598
-2.8803377,-2.984164
2.9592166,2.8699234
0.92655885,2.5149384
-0.15687634,-0.7696644
0.07710108,-1.5870383
