SOC,SOH,Material,Type
5.0,0.7703000000000001,NMC_15Ah,Fixed_SOC
5.0,0.7873,NMC_15Ah,Fixed_SOC
5.0,0.7794666666666666,NMC_15Ah,Fixed_SOC
5.0,0.77544,NMC_15Ah,Fixed_SOC
5.0,0.78944,NMC_15Ah,Fixed_SOC
5.0,0.77758,NMC_15Ah,Fixed_SOC
5.0,0.7711666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7737999999999999,NMC_15Ah,Fixed_SOC
5.0,0.7863266666666667,NMC_15Ah,Fixed_SOC
5.0,0.7892466666666667,NMC_15Ah,Fixed_SOC
5.0,0.7802466666666666,NMC_15Ah,Fixed_SOC
5.0,0.7741666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7724133333333333,NMC_15Ah,Fixed_SOC
5.0,0.7830466666666667,NMC_15Ah,Fixed_SOC
5.0,0.7662466666666667,NMC_15Ah,Fixed_SOC
5.0,0.78094,NMC_15Ah,Fixed_SOC
5.0,0.7759666666666667,NMC_15Ah,Fixed_SOC
5.0,0.7860533333333334,NMC_15Ah,Fixed_SOC
5.0,0.7754666666666666,NMC_15Ah,Fixed_SOC
5.0,0.7783866666666667,NMC_15Ah,Fixed_SOC
5.0,0.7874133333333333,NMC_15Ah,Fixed_SOC
5.0,0.8096599999999999,NMC_15Ah,Fixed_SOC
5.0,0.8230266666666667,NMC_15Ah,Fixed_SOC
5.0,0.8196066666666667,NMC_15Ah,Fixed_SOC
5.0,0.7553333333333333,NMC_15Ah,Fixed_SOC
5.0,0.7715,NMC_15Ah,Fixed_SOC
5.0,0.7687466666666667,NMC_15Ah,Fixed_SOC
5.0,0.7789400000000001,NMC_15Ah,Fixed_SOC
5.0,0.7807733333333334,NMC_15Ah,Fixed_SOC
5.0,0.8263266666666667,NMC_15Ah,Fixed_SOC
5.0,0.8238266666666667,NMC_15Ah,Fixed_SOC
5.0,0.7786066666666667,NMC_15Ah,Fixed_SOC
5.0,0.77022,NMC_15Ah,Fixed_SOC
5.0,1.003619047619048,NMC_21Ah,Fixed_SOC
5.0,1.008990476190476,NMC_21Ah,Fixed_SOC
5.0,1.005142857142857,NMC_21Ah,Fixed_SOC
5.0,0.9927095238095239,NMC_21Ah,Fixed_SOC
5.0,1.000938095238095,NMC_21Ah,Fixed_SOC
5.0,1.006814285714286,NMC_21Ah,Fixed_SOC
5.0,0.9973428571428571,NMC_21Ah,Fixed_SOC
5.0,1.002009523809524,NMC_21Ah,Fixed_SOC
5.0,1.003290476190476,NMC_21Ah,Fixed_SOC
5.0,0.9927904761904762,NMC_21Ah,Fixed_SOC
5.0,0.8151904761904761,NMC_21Ah,Fixed_SOC
5.0,0.9949,NMC_21Ah,Fixed_SOC
5.0,0.9776619047619047,NMC_21Ah,Fixed_SOC
5.0,0.9957333333333332,NMC_21Ah,Fixed_SOC
5.0,0.9962047619047619,NMC_21Ah,Fixed_SOC
5.0,0.9986619047619049,NMC_21Ah,Fixed_SOC
5.0,0.9980095238095239,NMC_21Ah,Fixed_SOC
5.0,1.000242857142857,NMC_21Ah,Fixed_SOC
5.0,0.9892428571428572,NMC_21Ah,Fixed_SOC
5.0,1.001795238095238,NMC_21Ah,Fixed_SOC
5.0,0.9858666666666667,NMC_21Ah,Fixed_SOC
5.0,0.7464952380952381,NMC_21Ah,Fixed_SOC
5.0,0.9958666666666667,NMC_21Ah,Fixed_SOC
5.0,1.006371428571429,NMC_21Ah,Fixed_SOC
5.0,0.9985857142857144,NMC_21Ah,Fixed_SOC
5.0,0.9969285714285715,NMC_21Ah,Fixed_SOC
5.0,0.9989333333333332,NMC_21Ah,Fixed_SOC
5.0,0.9904238095238095,NMC_21Ah,Fixed_SOC
5.0,0.9916809523809523,NMC_21Ah,Fixed_SOC
5.0,0.9927285714285714,NMC_21Ah,Fixed_SOC
5.0,1.005833333333333,NMC_21Ah,Fixed_SOC
5.0,1.002714285714286,NMC_21Ah,Fixed_SOC
5.0,0.8836095238095238,NMC_21Ah,Fixed_SOC
5.0,0.9829666666666667,NMC_21Ah,Fixed_SOC
5.0,1.005357142857143,NMC_21Ah,Fixed_SOC
5.0,1.000414285714286,NMC_21Ah,Fixed_SOC
5.0,0.9890523809523809,NMC_21Ah,Fixed_SOC
5.0,1.007719047619048,NMC_21Ah,Fixed_SOC
5.0,0.992804761904762,NMC_21Ah,Fixed_SOC
5.0,0.9871904761904763,NMC_21Ah,Fixed_SOC
5.0,0.9881380952380953,NMC_21Ah,Fixed_SOC
5.0,0.9909714285714286,NMC_21Ah,Fixed_SOC
5.0,0.9904714285714287,NMC_21Ah,Fixed_SOC
5.0,0.8371904761904762,NMC_21Ah,Fixed_SOC
5.0,0.985247619047619,NMC_21Ah,Fixed_SOC
5.0,0.9873571428571429,NMC_21Ah,Fixed_SOC
5.0,0.9930809523809524,NMC_21Ah,Fixed_SOC
5.0,0.8516095238095238,NMC_21Ah,Fixed_SOC
5.0,1.002109523809524,NMC_21Ah,Fixed_SOC
5.0,1.001576190476191,NMC_21Ah,Fixed_SOC
5.0,1.008171428571429,NMC_21Ah,Fixed_SOC
5.0,0.9838380952380952,NMC_21Ah,Fixed_SOC
5.0,0.7822208333333333,LMO_24Ah,Fixed_SOC
5.0,0.769775,LMO_24Ah,Fixed_SOC
5.0,0.8261375000000001,LMO_24Ah,Fixed_SOC
5.0,0.7983583333333333,LMO_24Ah,Fixed_SOC
5.0,0.8073875,LMO_24Ah,Fixed_SOC
5.0,0.8003291666666666,LMO_24Ah,Fixed_SOC
5.0,0.7896583333333332,LMO_24Ah,Fixed_SOC
5.0,0.8251083333333334,LMO_24Ah,Fixed_SOC
5.0,0.8041916666666666,LMO_24Ah,Fixed_SOC
5.0,1.092525,LMO_24Ah,Fixed_SOC
5.0,0.761075,LMO_24Ah,Fixed_SOC
5.0,0.7737166666666666,LMO_24Ah,Fixed_SOC
5.0,1.1206625,LMO_24Ah,Fixed_SOC
5.0,0.6521666666666667,LMO_24Ah,Fixed_SOC
5.0,0.7438291666666667,LMO_24Ah,Fixed_SOC
5.0,1.117775,LMO_24Ah,Fixed_SOC
5.0,1.104579166666667,LMO_24Ah,Fixed_SOC
5.0,0.8234416666666666,LMO_24Ah,Fixed_SOC
5.0,0.7983875,LMO_24Ah,Fixed_SOC
5.0,0.7655791666666666,LMO_24Ah,Fixed_SOC
5.0,0.7796375000000001,LMO_24Ah,Fixed_SOC
5.0,0.8063875,LMO_24Ah,Fixed_SOC
5.0,0.6645541666666667,LMO_24Ah,Fixed_SOC
5.0,0.6395541666666666,LMO_24Ah,Fixed_SOC
5.0,0.7896916666666667,LMO_24Ah,Fixed_SOC
5.0,0.7442208333333333,LMO_24Ah,Fixed_SOC
5.0,0.7858583333333334,LMO_24Ah,Fixed_SOC
5.0,0.7951625,LMO_24Ah,Fixed_SOC
5.0,0.8155541666666667,LMO_24Ah,Fixed_SOC
5.0,0.8018541666666666,LMO_24Ah,Fixed_SOC
5.0,0.7951083333333333,LMO_24Ah,Fixed_SOC
5.0,0.8003458333333334,LMO_24Ah,Fixed_SOC
5.0,0.8138875,LMO_24Ah,Fixed_SOC
5.0,0.7946791666666666,LMO_24Ah,Fixed_SOC
5.0,0.7981250000000001,LMO_24Ah,Fixed_SOC
5.0,0.8136583333333333,LMO_24Ah,Fixed_SOC
5.0,0.7289875,LMO_24Ah,Fixed_SOC
5.0,0.8255416666666666,LMO_24Ah,Fixed_SOC
5.0,0.7810791666666667,LMO_24Ah,Fixed_SOC
5.0,1.067841666666667,LMO_24Ah,Fixed_SOC
5.0,1.05445,LMO_24Ah,Fixed_SOC
5.0,1.065441666666667,LMO_24Ah,Fixed_SOC
5.0,1.060616666666667,LMO_24Ah,Fixed_SOC
5.0,0.6706375000000001,LMO_24Ah,Fixed_SOC
5.0,0.76035,LMO_24Ah,Fixed_SOC
5.0,0.8154041666666667,LMO_24Ah,Fixed_SOC
5.0,0.8017541666666667,LMO_24Ah,Fixed_SOC
5.0,0.7800291666666667,LMO_24Ah,Fixed_SOC
5.0,0.7973083333333334,LMO_24Ah,Fixed_SOC
5.0,0.792125,LMO_24Ah,Fixed_SOC
5.0,0.7840458333333333,LMO_24Ah,Fixed_SOC
5.0,0.7370166666666668,LMO_24Ah,Fixed_SOC
5.0,0.8057500000000001,LMO_24Ah,Fixed_SOC
5.0,0.7952458333333333,LMO_24Ah,Fixed_SOC
5.0,0.8001916666666666,LMO_24Ah,Fixed_SOC
5.0,0.7358583333333333,LMO_24Ah,Fixed_SOC
5.0,0.7241083333333332,LMO_24Ah,Fixed_SOC
5.0,0.8061666666666666,LMO_24Ah,Fixed_SOC
5.0,0.801025,LMO_24Ah,Fixed_SOC
5.0,0.726025,LMO_24Ah,Fixed_SOC
5.0,0.778525,LMO_24Ah,Fixed_SOC
5.0,0.7694416666666667,LMO_24Ah,Fixed_SOC
5.0,0.8108041666666667,LMO_24Ah,Fixed_SOC
5.0,0.8134416666666667,LMO_24Ah,Fixed_SOC
5.0,0.679552,LMO_25Ah,Fixed_SOC
5.0,0.561636,LMO_25Ah,Fixed_SOC
5.0,0.776636,LMO_25Ah,Fixed_SOC
5.0,0.772804,LMO_25Ah,Fixed_SOC
5.0,0.9329120000000001,LMO_25Ah,Fixed_SOC
5.0,0.8938240000000001,LMO_25Ah,Fixed_SOC
5.0,0.728436,LMO_25Ah,Fixed_SOC
5.0,0.757336,LMO_25Ah,Fixed_SOC
5.0,0.8600679999999999,LMO_25Ah,Fixed_SOC
5.0,0.7584839999999999,LMO_25Ah,Fixed_SOC
5.0,0.9315439999999999,LMO_25Ah,Fixed_SOC
5.0,0.7956319999999999,LMO_25Ah,Fixed_SOC
5.0,0.7521439999999999,LMO_25Ah,Fixed_SOC
5.0,0.80132,LMO_25Ah,Fixed_SOC
5.0,0.8893080000000001,LMO_25Ah,Fixed_SOC
5.0,0.657092,LMO_25Ah,Fixed_SOC
5.0,0.858012,LMO_25Ah,Fixed_SOC
5.0,0.611424,LMO_25Ah,Fixed_SOC
5.0,0.886732,LMO_25Ah,Fixed_SOC
5.0,0.870684,LMO_25Ah,Fixed_SOC
5.0,0.59246,LMO_25Ah,Fixed_SOC
5.0,0.846124,LMO_25Ah,Fixed_SOC
5.0,0.665544,LMO_25Ah,Fixed_SOC
5.0,0.646996,LMO_25Ah,Fixed_SOC
5.0,0.788332,LMO_25Ah,Fixed_SOC
5.0,0.684388,LMO_25Ah,Fixed_SOC
5.0,0.53486,LMO_25Ah,Fixed_SOC
5.0,0.7467199999999999,LMO_25Ah,Fixed_SOC
5.0,0.62786,LMO_25Ah,Fixed_SOC
5.0,0.803888,LMO_25Ah,Fixed_SOC
5.0,0.9224720000000001,LMO_25Ah,Fixed_SOC
5.0,0.9456640000000001,LMO_25Ah,Fixed_SOC
5.0,0.895468,LMO_25Ah,Fixed_SOC
5.0,0.84966,LMO_25Ah,Fixed_SOC
5.0,0.815804,LMO_25Ah,Fixed_SOC
5.0,0.663248,LMO_25Ah,Fixed_SOC
5.0,0.609108,LMO_25Ah,Fixed_SOC
5.0,0.525944,LMO_25Ah,Fixed_SOC
5.0,0.632332,LMO_25Ah,Fixed_SOC
5.0,0.66908,LMO_25Ah,Fixed_SOC
5.0,0.931276,LMO_25Ah,Fixed_SOC
5.0,0.73722,LMO_25Ah,Fixed_SOC
5.0,0.647664,LMO_25Ah,Fixed_SOC
5.0,0.852996,LMO_25Ah,Fixed_SOC
5.0,0.822608,LMO_25Ah,Fixed_SOC
5.0,0.938332,LMO_25Ah,Fixed_SOC
5.0,0.8185800000000001,LMO_25Ah,Fixed_SOC
5.0,0.7280800000000001,LMO_25Ah,Fixed_SOC
5.0,0.668608,LMO_25Ah,Fixed_SOC
5.0,0.7965800000000001,LMO_25Ah,Fixed_SOC
5.0,0.596692,LMO_25Ah,Fixed_SOC
5.0,0.426472,LMO_25Ah,Fixed_SOC
5.0,0.618108,LMO_25Ah,Fixed_SOC
5.0,0.657108,LMO_25Ah,Fixed_SOC
5.0,0.629776,LMO_25Ah,Fixed_SOC
5.0,0.756136,LMO_25Ah,Fixed_SOC
5.0,0.718388,LMO_25Ah,Fixed_SOC
5.0,0.70686,LMO_25Ah,Fixed_SOC
5.0,0.877192,LMO_25Ah,Fixed_SOC
5.0,0.87466,LMO_25Ah,Fixed_SOC
5.0,0.6063839999999999,LMO_25Ah,Fixed_SOC
5.0,0.887828,LMO_25Ah,Fixed_SOC
5.0,0.652444,LMO_25Ah,Fixed_SOC
5.0,0.893192,LMO_25Ah,Fixed_SOC
5.0,0.687936,LMO_25Ah,Fixed_SOC
5.0,0.85848,LMO_25Ah,Fixed_SOC
5.0,0.866456,LMO_25Ah,Fixed_SOC
5.0,0.807436,LMO_25Ah,Fixed_SOC
5.0,0.8380719999999999,LMO_25Ah,Fixed_SOC
5.0,0.6795680000000001,LMO_25Ah,Fixed_SOC
5.0,0.9425239999999999,LMO_25Ah,Fixed_SOC
5.0,0.8512439999999999,LMO_25Ah,Fixed_SOC
5.0,0.913164,LMO_25Ah,Fixed_SOC
5.0,0.847692,LMO_25Ah,Fixed_SOC
5.0,0.5323599999999999,LMO_25Ah,Fixed_SOC
5.0,0.622972,LMO_25Ah,Fixed_SOC
5.0,0.6569119999999999,LMO_25Ah,Fixed_SOC
5.0,0.951052,LMO_25Ah,Fixed_SOC
5.0,0.450748,LMO_25Ah,Fixed_SOC
5.0,0.5839719999999999,LMO_25Ah,Fixed_SOC
5.0,0.787136,LMO_25Ah,Fixed_SOC
5.0,0.829332,LMO_25Ah,Fixed_SOC
5.0,0.8939440000000001,LMO_25Ah,Fixed_SOC
5.0,0.6861079999999999,LMO_25Ah,Fixed_SOC
5.0,0.561832,LMO_25Ah,Fixed_SOC
5.0,0.779048,LMO_25Ah,Fixed_SOC
5.0,0.75822,LMO_25Ah,Fixed_SOC
5.0,0.882332,LMO_25Ah,Fixed_SOC
5.0,0.815972,LMO_25Ah,Fixed_SOC
5.0,0.892748,LMO_25Ah,Fixed_SOC
5.0,0.955304,LMO_25Ah,Fixed_SOC
5.0,0.9136920000000001,LMO_25Ah,Fixed_SOC
5.0,0.820804,LMO_25Ah,Fixed_SOC
5.0,0.9194119999999999,LMO_25Ah,Fixed_SOC
5.0,0.7155800000000001,LMO_25Ah,Fixed_SOC
5.0,0.7763880000000001,LMO_25Ah,Fixed_SOC
5.0,0.8438038461538462,LMO_26Ah,Fixed_SOC
5.0,0.8197192307692307,LMO_26Ah,Fixed_SOC
5.0,0.8207461538461539,LMO_26Ah,Fixed_SOC
5.0,0.8363576923076923,LMO_26Ah,Fixed_SOC
5.0,0.8380807692307692,LMO_26Ah,Fixed_SOC
5.0,0.8469192307692308,LMO_26Ah,Fixed_SOC
5.0,0.8327269230769231,LMO_26Ah,Fixed_SOC
5.0,0.8250269230769232,LMO_26Ah,Fixed_SOC
5.0,0.7976076923076924,LMO_26Ah,Fixed_SOC
5.0,0.9441653846153847,LMO_26Ah,Fixed_SOC
